"Complex","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy","Experimental"
"11gs",-12.44,3.95,-5.1,-51.68,-0.63,-0.62,-57.72,12.03,-8.040627145
"1a0q",-85.76,1.14,-6.47,-33.31,-0.13,95.18,-45.05,1.79,-10.45834149
"1a1c",-247.39,-2.54,-13.48,-22.99,-0.44,232.44,-39.66,2.85,-8.841926757
"1a1e",-208.53,1.51,-14.15,-21.17,-0.46,193.71,-39,2.11,-8.289306335
"1a42",-0.65,3.79,-2.95,-32.24,-0.27,-14.49,-37.95,2.91,-13.66353994
"1a4k",-11.7,6.77,-5.17,-39.07,-0.01,15.5,-55.56,6.24,-11.05240845
"1a4r",5.68,3.27,-10.48,-9.39,-2.12,7.1,-49.79,4.18,-9.201130032
"1a4w",-182.45,0.64,-6.48,-41.29,-0.01,177.68,-63.75,17.28,-8.17878225
"1a7x",-35.95,-0.45,-2.09,-63.34,0,34.54,-96.03,10.69,-13.40104524
"1a94",-50.88,5.27,-7.9,-66.26,0,64.79,-100.73,21.51,-10.84517579
"1a99",-153.19,1.24,-3.01,-21.28,0,133.11,-20.28,1.3,-7.874841018
"1a9m",-24.32,11.68,-6.13,-67.95,0,28.47,-83.32,19.4,-9.560333306
"1aaq",-58.58,5.09,-4.72,-54.83,-0.43,52.57,-78.27,9.78,-11.60502887
"1abf",-39.53,0.99,-5.86,-18.12,0,19.49,-22.12,10.26,-7.488006722
"1add",-29.86,1.82,-6.9,-23.12,-5.43,66.25,-43.33,8.32,-9.311654116
"1adl",-51.58,1.51,-4.69,-45.84,0,58.31,-43.68,13.62,-7.405113659
"1ado",-51.07,-3.63,-7.21,-4.29,0,74.98,-23.62,-2.18,-8.289306335
"1af2",-25.59,2.49,-2.18,-24.99,-0.5,46.65,-45.62,5.74,-4.282808273
"1af6",-45,3.41,-9.62,-19.73,0,35.03,-27.75,10.09,-2.514422922
"1afk",-169.05,7.68,-19.8,-8.62,-6.59,160.89,-35.35,7.7,-9.145867989
"1afl",-71.15,8.62,-16.67,-7.16,-3.48,95.64,-40.83,8.42,-8.67614063
"1agm",-238.44,11.48,-8.36,-49.33,0,178.2,-59.08,16.75,-16.57861267
"1ai4",-29.03,2.38,-3.56,-17.45,-0.59,38.75,-26.04,1.54,-3.453877639
"1ai7",-0.19,0.04,-0.02,-17.1,-0.3,16.92,-20.83,0.16,-5.650543818
"1aid",-10.88,9,-0.07,-59.71,0,22.03,-46.45,8.46,-6.659076089
"1aj7",-42.16,3.26,-8.2,-19.06,-2.37,49.89,-41.02,4.61,-5.346602586
"1ajn",-4.07,0.09,-3.33,-17.52,-1.45,12.89,-30.24,1.29,-3.633479277
"1ajv",16.72,3.84,-2.84,-62.91,-0.33,8.15,-86.81,9.59,-10.66557415
"1ajx",-20.74,-1.27,-2.74,-58.69,-1.58,44.23,-76.15,7.24,-10.92806885
"1alw",-13.92,2.89,-2.75,-18.41,-0.22,22.08,-28.95,2.14,-9.007712884
"1amw",3.92,1.03,-12.77,-10.87,-0.34,-0.11,-44.55,4.32,-6.272241793
"1apb",-37.73,0.74,-5.4,-18.12,0,21.74,-23.23,10.15,-8.040627145
"1apv",-54.07,3.27,-4.8,-46.02,0,71.34,-72.5,5.83,-12.4339595
"1atl",105.06,4.04,-1.42,-31.13,-2.68,-50.83,-45.11,7.35,-8.67614063
"1ax0",-49.1,-1.18,-3.72,-18.24,0,30.94,-27.61,4.25,-4.324254805
"1axz",-48.16,0.28,-3.4,-15.94,0,30.53,-18.77,4.09,-4.420963379
"1b8n",-48.92,3.71,-6.13,-27.48,-0.87,35.56,-45.15,10.92,-14.53391711
"1b8y",106.23,6.41,-2.03,-42.27,-3.51,-54.05,-58.39,10.59,-10.84517579
"1bai",-60.15,10.07,-4.41,-74.49,0,81.93,-98.09,24.37,-10.63794313
"1bap",-39.1,1.19,-5.83,-13.95,0,19.56,-21.24,9.62,-9.463624732
"1bcd",-10.01,-2.02,-2.1,-5.42,0,-8.67,-14.33,-1.96,-12.01949419
"1bdq",-22.8,8.1,-1.95,-64.22,-0.51,48.46,-73,10.77,-8.759033694
"1bgq",-24.4,0.45,-1.89,-39.1,-0.48,20.06,-42.61,2.87,-11.83989255
"1bhf",-282.37,2.28,-20.02,-26.74,-0.72,245.06,-49.54,12.69,-6.051193624
"1bhx",-190.14,4.4,-8.85,-47.67,-1.53,182.46,-58.47,10.46,-9.449809222
"1bn1",12.64,2.46,-2.56,-22.73,-0.6,-23.29,-30.98,2.81,-12.90368686
"1bn3",6.03,6.79,-2.29,-26.93,-0.78,-12.26,-37.22,4.49,-13.66353994
"1bn4",13.48,2.79,-2.68,-23.6,-0.41,-23.35,-31.82,3.69,-12.86224033
"1bnn",9.98,8.8,-2.49,-27.44,-1.22,-18.23,-35.32,6.88,-13.81551056
"1bnq",-6.89,4.69,-2.8,-27.44,-0.24,-6.89,-36.88,6.36,-13.11091952
"1bnt",4.13,7.11,-2.88,-27.08,-0.58,-16.81,-31.34,7.35,-13.53920035
"1bnu",15.29,5.03,-2.77,-30.98,-0.63,-23.73,-37.19,7.09,-13.40104524
"1bnv",-6.8,3.35,-3.13,-23.1,-0.81,-5.5,-34.4,5.49,-12.11620276
"1bnw",21.42,3.3,-2.56,-23.13,-0.52,-28.43,-30.06,10.91,-12.54448359
"1bp0",24.54,1.61,-15.28,-10.24,-0.24,-31.86,-29.99,2.35,-7.460375701
"1bq4",-443.03,5.73,-19.8,-2.03,-0.51,471.82,-26.44,5.19,-7.211696511
"1br6",59.19,3.12,-4.94,-16.15,-3.51,-54.33,-41.68,8.08,-4.4485944
"1bv7",-50.91,-0.49,-4.41,-70.5,-0.41,55.43,-96.12,10.89,-12.84842482
"1bv9",-47.38,-0.29,-4.53,-69.46,0,54.35,-96.91,11.14,-12.37869746
"1bwa",-47.63,-0.49,-4.55,-65.79,0,57.73,-93.77,12,-10.49978802
"1bwb",-56.68,2.6,-5.49,-61.1,0,64.56,-98.08,12.82,-11.63265989
"1bxq",60,5.52,-4.51,-49.27,0,2,-92.62,10.95,-10.19584679
"1bxr",137.5,6.22,-27.67,-20.93,-0.09,-80.78,-60.09,12.34,-4.69727359
"1byk",-73.24,7.18,-17.08,-28.96,0,44.96,-39.39,12.19,-6.907755279
"1bzc",-166.29,6.27,-11.65,-27.6,-0.99,168.34,-42.21,6.61,-6.797231195
"1bzh",-119.22,17.18,-7.37,-28.04,-0.2,155.64,-49.69,30.02,-9.353100648
"1bzy",-66.94,9.78,-11.99,-23.85,-3.2,82.85,-54.72,16.67,-11.52213581
"1c1r",-204.82,4.46,-2.82,-19.27,-0.52,278.55,-37.97,8.95,-10.54123456
"1c1u",-146.01,4.65,-2.95,-19.92,-0.2,214.74,-38.73,11.7,-11.39779621
"1c1v",-229.35,2.29,-3.14,-17.6,-0.96,280.44,-40.38,4.45,-10.55505007
"1c4u",-158.38,0.09,-3.13,-45.16,-0.62,137.92,-57.53,10.58,-14.32668445
"1c4v",-162.83,2.89,-2.96,-55.36,-0.77,153.16,-61.62,7.36,-14.9207514
"1c5c",-64.63,1.66,-9.81,-20.78,-1.19,60.45,-39.54,1.25,-9.615595348
"1c5n",-139.14,1.82,-2.39,-23.14,0,145.19,-28.9,2.77,-6.493289962
"1c5o",-149.35,1.86,-7.29,-11.29,0,145.09,-22.16,3.82,-4.821613185
"1c5p",-219.27,0.48,-7.31,-11.52,0,226.41,-26.9,1.05,-6.465658941
"1c5q",-198.51,1.25,-2.48,-24,0,214.08,-32.66,2.29,-8.786664715
"1c5s",-189.31,1.38,-2.5,-19.67,0,207.68,-28.47,2.25,-8.289306335
"1c5t",-200.19,0.92,-2.62,-17.7,-0.02,205.75,-29.05,1.42,-5.664359329
"1c5x",-199.33,2.13,-2.49,-25.75,0,202.14,-31.98,3.22,-9.228761053
"1c5y",-196.65,1.87,-2.6,-19.17,0,200.17,-28.22,2.94,-5.802514434
