Complex,VINA,GlideSP,HMS,DSX,RFScore,Experimental
1f8d,-8.6,-7.539,-7.543268765,-67.155,-6.72323068612,-4.69727359
1igj,-6.78,-8.254,-10.63794313,-134.545,-9.21547761587,-13.81551056
1jyq,-13.02,-8.255,-10.84517579,-182.614,-8.52668773671,-12.01949419
1lbk,-9.88,-6.902,-7.018279363,-89.757,-7.59092404328,-4.393332357
1lor,-10.38,-8.911,-8.703771652,-101.696,-6.83586631827,-15.27995468
1o5b,-7.98,-6.486,-7.985365103,-78.571,-6.60795547626,-7.971549592
1os0,-8.02,-8.139,-10.472157,-145.412,-9.87550490377,-8.330752866
1oyt,-13.47,-12.14,-9.587964327,-165.991,-10.7206330031,-10.00242964
1q8u,-8.9,-8.186,-9.17349901,-94.902,-9.77760201187,-8.23404
1sln,-9.75,-7.176,-10.29255537,-188.953,-9.89786303562,-9.17349901
1w4o,-9.38,-0.15,-7.861025507,-91.276,-5.06562453157,-7.211696511
1xd0,-8.38,-9.395,-11.39779621,-226.898,-7.66153740605,-9.836643517
2cbj,-9.05,-9.805,-9.65704188,-148.357,-7.87463250199,-11.42542723
2d3u,-8.67,-9.265,-9.89190556,-104.353,-9.50916019449,-9.560333306
2fvd,-12.57,-10.13,-9.145867989,-137.051,-9.95713792676,-11.770815
2hb1,-8.97,-6.609,-7.501822233,-82.502,-6.69721078088,-5.249894012
2iwx,-11.66,-10.81,-8.92481982,-98.499,-9.22124159926,-9.228761053
2jdu,-5.67,-6.242,-7.446560191,-60.396,-7.35663166731,-9.284023095
2obf,-12.25,-9.245,-10.45834149,-124.281,-10.8023633629,-12.22672684
2pq9,-9.83,-3.3,-10.74846721,-125.154,-8.30573431319,-11.20437906
2qmj,-6.73,-8.094,-8.537985525,-106.161,-7.88048469515,-5.816329945
2v7a,-12.13,-10.68,-10.09913822,-157.794,-10.8219951812,-11.46687376
2vl4,-8.41,-6.661,-7.791947955,-76.633,-7.48248199657,-8.303121845
2w66,-8.27,-6.898,-8.234044293,-87.665,-7.15804574319,-5.595281776
2wbg,-7.99,-7.504,-9.187314521,-99.494,-8.34397456934,-6.147902198
2weg,-6.31,-4.767,-7.322220596,-62.569,-9.12628492825,-8.980081863
2x8z,-8.49,-5.398,-7.474191212,-75.826,-9.45802497085,-10.9971464
2xb8,-9.8,-8.966,-9.325469627,-114.472,-7.43234700398,-10.48597251
2y5h,-11.32,-8.83,-8.620878588,-152.399,-10.8228531466,-7.999180613
2yki,-16.65,-15.99,-13.20762809,-182.252,-9.78007520262,-13.06947299
2ymd,-10.78,-6.857,-8.634694099,-88.485,-7.27664749664,-4.365701336
2zcr,-10.27,-10.08,-10.69320517,-95.448,-9.15555346818,-9.491255753
2zjw,-8.22,-8.779,-8.551801035,-59.025,-7.45901374034,-10.63794313
2zx6,-8.2,-8.066,-8.814295736,-120.037,-10.1665858007,-14.64444119
3b3s,-5.87,-4.625,-6.893939768,-40.24,-7.28417662654,-3.522955192
3bfu,-9.53,-6.936,-7.722870402,-82.455,-8.57066783152,-8.66232512
3bpc,-6.52,-6.335,-6.589998536,-76.736,-6.96265409906,-6.631445068
3cft,-4.68,-3.695,-7.405113659,-27.594,-5.90855189886,-5.788698924
3cyx,-16.08,-12.4,-13.31815218,-229.664,-11.8181222359,-11.05240845
3d4z,-7.53,-6.451,-7.902472039,-74.537,-7.59262328671,-6.755784663
3ebp,-6.84,-9.834,-9.615595348,-92.383,-7.65781220623,-8.16496674
3ehy,-5.33,-6.26,-7.68142387,-105.744,-7.18364150349,-8.082073676
3f3e,-5.89,-6.372,-7.985365103,-80.788,-7.89950702816,-10.63794313
3fv1,-8.74,-10.33,-9.380731669,-132.166,-10.0494461436,-12.84842482
3g0w,-11.16,-11.18,-10.0715072,-129.609,-10.5297395904,-13.15236605
3g2z,-8.31,-5.501,-6.493289962,-41.743,-5.42072679843,-3.260460492
3gcs,-12.77,-11.51,-11.16293253,-164.625,-11.313038053,-10.01624515
3ge7,-12.75,-9.868,-9.601779838,-142.81,-10.0137017539,-12.01949419
3gy4,-9.77,-6.565,-7.128803448,-78.653,-6.63705280549,-7.045910385
3i3b,-6.3,-6.202,-7.653792849,-50.402,-5.44326191599,-3.080858854
3imc,-6.64,-6.09,-7.101172427,-79.91,-6.24617364016,-4.089391125
3jvs,-6.02,-8.378,-10.25110883,-121.468,-8.07098837937,-9.035343905
3myg,-9.73,-7.17,-9.449809222,-120.872,-9.81289352891,-14.7825963
3nox,-8.57,-6.816,-9.325469627,-96.993,-10.3011788758,-11.96423214
3nw9,-10.32,-12.03,-11.770815,-200.877,-11.059799591,-12.4339595
3su3,-14.85,-14.75,-12.0333097,-208.654,-9.27240524936,-12.61356114
3u9q,-4.74,-5.181,-7.764316934,-87.595,-7.14556884154,-6.051193624
3udh,-8.83,-7.845,-8.109704698,-80.785,-7.37043678339,-3.937420509
3uex,-2.56,-5.229,-8.42746144,-80.849,-9.08112708606,-9.560333306
3zsx,-7.93,-7.53,-9.505071264,-128.942,-8.57410281969,-4.531487463
