PDB,VINA,GlideSP,GlideXP,DSX,RFScore,HPS,HMS,HSS,XAvg ,MMGbsa
1ajp,-6.09585,-9.42,-5.44,-74.291,-7.56379232837,-7.474191212,-7.156434469,-7.114987937,-7.253143043,-70.16663952
1ajq,-4.90595,-4.49,-3.24,-55.985,-8.79175129924,-6.92157079,-6.976832832,-6.755784663,-6.880124258,-61.81586505
2g5u,-3.48327,-4.42,-2.33,-37.744,-5.90748197125,-6.327503836,-8.510354504,-6.424212409,-7.087356916,-46.39938368
1ndy,-7.3392,-10.57,-11.43,-90.193,-10.518083187,-8.634694099,-9.435993711,-8.109704698,-8.731402673,-81.0076837
1ha2,-9.23019,-4.26,-2.71,-101.777,-10.3098457237,-9.228761053,-9.767565964,-8.772849204,-9.256392074,-73.3884364
1ndz,-9.3261,-13.99,-15.94,-158.192,-10.5412221238,-9.684672901,-10.2096623,-9.449809222,-9.781381475,-136.9123156
1ndw,-7.00315,-7.81,-7.91,-80.754,-9.18960141224,-8.206413271,-8.42746144,-7.570899786,-8.068258166,-42.81279857
2f80,-9.11143,-13.61,-14.02,-194.674,-11.9796942922,-10.23729332,-11.17674804,-10.01624515,-10.472157,-163.9479
1e66,-12.28367,-4.65,-2.89,-118.017,-9.35546759009,-10.14058475,-9.89190556,-9.988614133,-10.00242964,-69.05547168
1sl3,-10.29659,-14.93,-15.08,-183.991,-10.7411054971,-9.822828007,-10.19584679,-9.947167602,-9.988614133,-137.5348347
2f01,-6.90885,-13.03,-15.23,-109.033,-8.96564136157,-8.082073676,-8.358383888,-7.819578976,-8.095889187,-110.1054136
4tln,-4.25545,-3.15,-5.55,-52.747,-7.28857280931,-6.68670711,-7.17024998,-6.880124258,-6.92157079,-12.17685967
1d7j,-3.09728,-5.13,-5.85,-41.061,-5.96332324725,-6.065009135,-5.95448505,-5.995931582,-6.009747093,-43.43650802
1zoe,-5.18652,-6.45,-6.28,-55.757,-9.04058827272,-7.18406549,-8.689956141,-7.639977339,-7.847209997,-88.02224796
1sv3,-4.62945,-7.3,-5.71,-54.735,-6.5749259958,-6.645260578,-7.239327532,-6.520920983,-6.811046705,-22.78716989
6rnt,-5.22329,-7.4,-8.26,-79.392,-7.38262990246,-6.838677726,-7.17024998,-6.68670711,-6.893939768,-53.58016155
2i0d,-8.63029,-13.74,-12.34,-198.418,-13.7140176728,-10.11295373,-11.121486,-10.00242964,-10.41689496,-151.2171558
2aov,-9.9126,-10.4,-11.72,-73.719,-8.65957017546,-8.66232512,-9.435993711,-8.579432057,-8.897188799,-77.17842272
2aou,-9.66399,-10.31,-8.3,-122.102,-9.96494587768,-9.90572107,-10.77609824,-9.739934943,-10.14058475,-67.3029
1g7q,-8.70712,-4.2,-2.49,-190.712,-7.94636071553,-10.2096623,-10.84517579,-10.58268109,-10.54123456,-178.0445212
2er9,-9.06465,-16.8,-18.69,-273.803,-10.2436963401,-11.13530151,-13.35959871,-11.37016519,-11.95041663,-167.1862791
1u2y,-4.95917,-6.58,-10.49,-35.157,-6.83187857987,-6.092640156,-6.396581388,-5.968300561,-6.147902198,-61.08606081
2j78,-6.15862,-7.75,-9.3,-74.587,-7.16228157924,-7.114987937,-7.68142387,-7.101172427,-7.294589575,-69.24565509
1slg,-5.12159,-3.82,-2.36,-107.697,-9.22673500882,-7.612346317,-8.537985525,-6.907755279,-7.68142387,-93.128587
1ai5,-6.70166,-11.77,-11.6,-68.939,-7.52192750284,-7.722870402,-7.847209997,-7.280774064,-7.612346317,-65.9635757
2g8r,-4.95231,-8.02,-7.62,-75.632,-6.82665728705,-6.866308747,-6.990648342,-6.741969152,-6.866308747,-57.03524991
