PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,Experimental
1yqj,1,271,0,9,23,10,107,123,0,1,52,0,1,0,1,5,-11.24582559
1mhw,12,353,0,9,96,14,41,205,5,2,35,0,1,0,1,21,-10.15440026
1r5y,11,221,0,13,18,0,88,113,5,1,31,0,2,0,0,2,-8.92481982
1g54,9,219,1,0,19,43,45,120,3,1,11,0,0,1,0,5,-12.18528031
1g53,8,179,0,0,19,21,23,124,2,1,9,0,0,1,1,5,-12.48922154
1g52,8,216,0,0,19,22,49,134,3,1,22,0,0,0,0,5,-13.17999707
1v48,13,309,0,30,4,0,99,189,3,7,15,0,2,0,2,7,-10.77609824
1yqy,14,249,2,18,9,80,19,135,3,1,25,1,1,0,2,6,-10.52741905
1kc7,10,158,13,9,3,44,82,17,0,8,8,0,0,0,4,3,-7.626161828
1d7i,2,67,0,0,4,15,15,35,0,1,9,0,0,0,0,2,-4.973583801
1ogg,11,298,8,0,19,11,163,108,3,4,26,0,0,0,0,16,-7.17024998
1pgp,15,219,0,1,7,144,12,70,1,11,2,0,0,0,5,11,-7.874841018
1yc1,12,275,14,13,0,151,92,17,2,1,30,0,0,0,1,6,-8.524170014
2j2u,2,185,0,39,27,0,60,61,0,1,32,0,0,0,0,5,-10.12676924
1a9m,18,442,0,32,44,0,189,195,6,2,30,0,0,0,0,20,-9.560333306
1hii,9,309,0,18,46,0,94,160,4,2,34,0,0,0,2,16,-10.05769169
1yc4,8,249,14,7,0,121,104,11,2,1,28,0,0,0,0,5,-9.049159416
1pu8,4,135,1,0,0,83,0,55,2,0,25,0,3,2,0,0,-4.282808273
1hn2,1,156,0,3,0,0,140,14,0,0,19,1,2,4,0,1,-8.289306335
2er6,20,455,0,22,78,16,133,226,7,2,39,0,0,1,3,30,-9.974798623
1ez9,6,231,0,0,4,56,24,153,3,1,29,0,0,0,0,29,-7.045910385
2aoc,22,475,0,47,58,0,163,229,8,4,38,0,0,0,2,30,-6.755784663
2hu6,1,169,2,2,36,37,27,66,0,0,29,0,1,0,0,5,-5.263709523
2aog,19,459,0,43,60,0,178,197,7,4,33,0,0,0,2,30,-8.67614063
1j14,4,151,0,8,50,0,25,72,3,0,14,0,0,0,0,2,-6.203164241
1ik4,20,229,9,8,11,101,71,49,1,11,3,0,0,0,3,4,-10.23729332
830c,7,229,6,20,30,83,37,60,3,2,22,0,0,0,1,7,-12.8207938
2ca8,11,227,4,17,4,31,43,139,2,6,13,0,0,0,4,11,-6.43802792
1mh5,6,310,0,0,11,0,193,112,1,4,62,0,1,0,2,14,-12.72408522
1str,13,356,0,1,3,0,198,167,0,8,31,0,0,1,0,22,-6.589998536
1sts,13,331,0,7,1,0,199,137,1,5,28,0,0,1,0,26,-6.907755279
1qhc,19,393,4,21,4,68,170,145,3,8,18,1,1,0,9,16,-10.45834149
1f9g,6,114,1,0,0,67,0,52,1,4,7,0,0,0,0,6,-1.768385351
