PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,Experimental
1ajp,6,156,0,16,0,8,88,50,0,4,19,0,1,0,0,2,-3.08
1ajq,4,131,0,20,0,6,75,34,0,3,19,0,0,0,0,2,-5.95
2g5u,4,107,0,10,0,0,91,10,1,0,9,0,0,0,0,3,-11.73
1ndy,10,294,0,11,2,103,55,133,3,2,37,1,1,0,0,7,-8.52
1ha2,1,213,15,0,0,199,0,0,0,0,33,0,0,1,0,5,-7.65
1ndz,17,433,8,0,15,206,38,183,3,9,52,1,2,0,0,11,-11.2
1ndw,11,285,1,4,0,110,35,146,3,2,29,1,1,2,0,7,-7.23
2f80,22,394,0,25,40,3,152,196,4,7,27,0,0,0,0,14,-11.3
1e66,0,222,0,0,8,82,0,132,0,0,58,0,5,0,1,2,-13.66
1sl3,12,423,0,48,28,0,69,290,3,5,31,0,0,0,0,10,-16.37
2f01,12,245,0,0,7,0,165,85,2,8,26,0,0,0,0,5,-17.96
4tln,12,153,0,13,0,74,21,57,3,1,8,0,0,0,3,5,-5.14
1d7j,6,89,0,0,3,12,28,52,1,3,13,0,0,0,0,3,-4.56
1zoe,3,168,0,6,2,1,79,83,1,0,13,0,0,0,0,1,-10.22
1sv3,7,151,0,0,19,31,0,108,0,5,17,0,0,0,1,2,-6.55
6rnt,20,262,0,0,15,0,77,190,1,11,8,1,2,0,3,7,-3.27
2i0d,15,377,0,13,32,0,97,250,2,5,23,1,0,0,0,15,-16.72
2aov,7,202,2,0,4,103,3,97,3,1,25,0,1,1,0,3,-9.73
2aou,6,252,2,0,6,137,12,101,1,0,56,2,4,2,0,7,-10.68
1g7q,36,632,8,0,0,455,142,63,8,16,27,0,0,0,2,24,-8.37
2er9,28,535,0,11,52,0,142,358,6,7,40,0,0,0,0,34,-10.22
1u2y,22,188,0,0,16,16,19,159,5,7,2,0,0,0,0,6,-2.4
2j78,22,268,0,0,0,0,114,176,6,7,9,0,0,0,0,6,-8.87
1slg,16,310,0,5,0,0,253,68,3,6,21,1,0,1,0,26,-5.39
1ai5,3,145,0,14,0,5,74,55,0,2,18,0,1,0,0,3,-5.14
2g8r,15,270,0,13,4,53,109,106,1,6,10,0,0,0,2,6,-5.51
1b9j,27,377,2,46,23,88,167,78,7,5,31,0,0,0,1,18,-8.23
1a1b,15,284,0,16,14,56,127,86,1,14,22,2,0,0,3,19,-8.84
8cpa,19,295,0,8,0,5,47,254,1,9,27,0,2,0,9,12,-12.64
1a69,10,263,0,28,4,37,89,115,3,3,9,0,0,0,0,5,-7.32
2qwb,16,229,0,1,0,0,122,122,3,7,4,0,0,0,3,10,-3.79
2b7d,27,458,0,14,76,0,22,373,7,6,22,0,0,0,1,12,-12.02
1tmn,13,249,0,10,8,75,74,95,3,2,23,0,0,0,7,19,-10.09
2brm,12,308,0,25,5,15,212,63,3,2,27,0,0,0,0,6,-8.14
3pcj,8,169,0,3,0,1,86,87,0,6,15,0,0,0,0,2,-9.97
2qwd,29,305,0,0,2,0,163,169,5,9,7,0,0,0,5,9,-6.7
2qwe,24,371,0,15,9,0,187,184,5,7,6,0,0,0,11,13,-10.33
1ttm,6,185,0,0,6,14,75,96,2,2,8,0,0,0,1,3,-10.15
2brb,5,243,0,18,1,9,179,41,1,2,20,0,0,0,0,6,-6.71
3std,9,322,7,0,0,76,125,123,2,2,50,1,1,2,0,6,-15.35
1hfs,13,435,3,8,47,72,72,246,2,6,50,0,2,4,4,18,-12.02
2fai,4,181,10,0,0,151,0,24,2,1,21,0,0,1,0,4,-8.62
1nny,34,470,14,0,33,127,11,319,3,16,31,0,0,0,3,17,-10.58
1hi4,17,305,0,9,4,53,118,138,1,12,18,2,2,0,3,8,-6.2
1df8,10,227,0,0,10,0,135,92,2,5,26,0,0,0,0,5,-13.4
1s39,6,198,2,8,5,49,94,46,3,1,27,0,2,0,0,1,-10.64
1nc1,13,317,0,19,24,43,79,165,4,4,34,0,2,0,0,6,-8.46
1loq,16,270,0,11,10,0,120,145,2,8,10,0,0,0,1,6,-5.11
2d3z,5,193,3,0,14,121,0,60,0,3,26,0,0,0,0,5,-9.17
1tyr,0,99,0,8,0,0,91,0,0,0,17,0,0,0,0,5,-9.67
1mq6,3,277,0,8,60,0,34,178,1,2,36,0,1,1,0,8,-15.4
