"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF"
"10gs",18,325,4,13,11,58,48,209,4,9,21,0,0,0,2,14
"1a08",17,260,0,17,4,43,123,90,2,10,17,1,0,0,2,19
"1a1b",12,233,0,16,4,50,105,70,1,9,15,1,0,0,2,19
"1a30",12,225,0,13,27,0,84,113,4,4,10,0,0,0,1,14
"1a69",16,281,0,32,6,21,91,147,4,3,14,0,0,0,0,5
"1ai5",4,127,0,15,0,9,67,40,0,2,13,0,1,0,0,3
"1ajp",9,173,0,23,0,3,85,71,0,2,36,0,1,1,0,2
"1ajq",5,109,0,17,0,15,61,21,0,2,15,0,1,1,0,2
"1apw",18,316,0,2,44,0,81,207,4,4,16,0,0,0,0,15
"1avn",4,54,0,0,0,0,23,35,0,2,1,0,0,0,0,3
"1b39",21,408,0,16,24,2,176,211,3,10,13,0,0,0,7,11
"1b7h",23,353,10,40,13,100,150,63,8,3,20,1,0,0,3,19
"1b8o",22,324,1,34,0,56,113,142,6,4,15,0,0,1,1,5
"1b9j",25,342,3,42,21,86,133,82,6,5,19,0,0,0,1,18
"1bcu",5,156,0,20,12,0,33,96,2,0,16,0,0,0,0,2
"1bma",8,158,0,22,14,0,42,88,0,1,5,0,0,0,0,11
"1bra",5,181,0,26,29,0,35,96,1,0,9,0,0,0,0,2
"1bxo",17,455,0,3,37,0,117,315,4,13,22,0,0,0,0,10
"1d09",21,223,14,0,15,79,37,99,0,14,5,0,0,0,6,7
"1d7j",1,64,0,0,3,6,19,37,1,1,9,0,0,0,0,3
"1det",14,230,0,5,24,0,61,154,4,6,10,0,1,0,0,7
"1dhi",18,377,1,35,0,139,88,132,1,8,18,0,0,0,3,11
"1e1v",7,251,0,38,1,0,213,6,2,1,23,0,0,0,0,4
"1e5a",1,51,0,0,0,2,50,0,0,1,4,0,0,0,0,1
"1e66",2,200,0,0,18,53,3,128,0,0,55,0,5,0,0,2
"1ela",16,308,0,29,22,0,71,202,2,1,13,0,0,0,0,11
"1f4e",5,111,0,0,1,39,5,71,0,3,16,0,1,0,1,3
"1f4f",14,257,2,0,7,59,0,203,0,11,27,0,0,1,1,9
"1f4g",18,375,3,6,5,71,45,263,1,15,32,0,0,1,2,12
"1f5k",12,175,0,6,37,0,23,121,2,0,11,0,0,0,0,2
"1fcx",10,292,22,2,4,210,25,39,0,4,42,0,0,1,1,4
"1fcz",7,276,16,2,4,195,26,40,0,4,40,0,0,1,1,4
"1fd0",11,310,24,2,5,227,25,38,0,4,42,0,0,1,1,4
"1fh7",24,311,0,0,0,28,129,178,4,4,16,0,0,0,2,7
"1fh8",16,244,0,0,0,0,105,155,3,3,15,0,0,0,2,6
"1fh9",27,342,0,0,0,19,148,202,4,6,15,0,0,0,2,8
"1fkb",18,294,0,0,27,13,90,182,3,6,30,0,0,0,0,9
"1fki",3,157,0,0,6,11,72,71,0,3,25,0,0,0,0,0
"1fkn",33,490,0,17,67,0,122,317,7,11,28,0,0,0,1,30
"1flr",7,223,0,2,23,0,93,112,0,1,41,0,6,0,0,3
"1ftm",25,276,2,23,2,62,113,99,2,15,15,0,0,0,2,5
"1fzj",47,789,15,0,0,405,102,314,11,17,50,0,0,1,1,32
"1fzk",29,579,1,0,0,345,93,169,5,15,48,1,2,1,0,25
"1g7f",20,329,5,0,13,56,7,268,2,8,30,0,0,0,3,16
"1g7q",42,633,2,0,0,418,195,60,7,9,36,0,0,0,2,24
"1gni",5,141,6,0,0,122,0,18,0,3,31,0,0,0,1,15
"1gpk",8,190,0,8,22,46,13,109,2,2,21,0,0,0,0,1
"1h23",6,239,7,9,29,44,14,142,0,2,48,4,2,0,0,15
"1ha2",1,184,7,0,0,178,0,0,1,1,28,0,0,1,0,5
"1hfs",14,438,2,8,47,77,77,241,2,9,50,1,3,2,4,18
"1hi4",20,293,0,6,5,54,119,129,1,10,19,3,2,0,3,8
"1hk4",5,209,13,0,0,201,0,0,3,1,17,0,1,0,5,7
"1if7",9,195,1,0,4,22,75,102,0,3,9,0,0,0,0,7
"1is0",15,308,0,13,10,48,116,136,1,9,17,1,0,0,3,19
"1j16",9,185,0,4,46,0,27,117,4,0,14,0,0,0,0,2
"1j17",4,243,0,30,28,0,63,126,0,2,44,0,0,0,0,4
"1jaq",17,243,1,19,25,74,36,105,3,3,12,0,0,0,1,9
"1jq9",4,85,29,0,0,60,0,0,0,0,6,0,0,0,0,24
"1jqd",23,368,3,0,45,46,28,269,6,6,15,0,0,0,1,11
"1jys",6,114,0,6,18,0,39,57,0,1,11,0,0,0,0,1
"1k9s",15,293,0,36,4,45,94,129,4,1,12,0,0,0,0,6
"1kv1",4,194,0,4,9,67,73,45,2,1,14,1,1,0,0,3
"1kv5",16,181,0,14,17,0,41,125,0,12,3,0,0,0,3,3
"1l2s",9,179,5,29,7,59,27,61,0,6,14,0,0,2,1,4
"1lol",26,317,0,15,17,13,132,166,2,15,4,0,0,0,1,6
"1loq",18,235,0,10,11,0,108,124,2,9,9,0,0,0,1,6
"1m0n",22,290,7,0,15,24,31,235,0,8,20,0,0,0,2,7
"1m0q",20,300,9,0,14,28,31,238,0,12,14,1,0,0,2,7
"1m2q",12,273,0,0,17,1,186,81,0,1,25,0,0,0,0,3
"1mq6",5,290,0,43,21,0,79,152,0,3,40,0,2,2,0,8
"1n2v",10,227,0,5,6,47,79,100,2,5,18,0,2,0,0,3
"1nc1",14,152,1,3,4,32,30,96,2,1,11,0,0,0,0,6
"1ndw",14,264,0,1,0,109,75,93,4,5,33,1,1,2,0,7
"1ndy",9,283,0,3,13,115,80,81,3,3,38,0,0,0,0,7
"1ndz",20,494,3,5,22,223,48,213,4,6,59,1,1,0,0,11
"1nfy",6,291,0,29,30,0,78,160,2,1,33,0,1,1,0,6
"1nhu",3,148,0,0,10,90,0,51,0,2,16,0,0,0,0,8
"1nja",14,207,1,8,0,5,91,116,1,6,2,0,0,0,2,7
"1nje",15,224,5,11,0,30,67,126,2,8,7,0,0,0,2,7
"1nny",26,434,17,0,23,116,13,291,4,9,31,0,2,0,3,17
"1nvq",10,357,0,24,15,2,234,92,2,1,35,0,0,0,1,5
"1o0h",32,454,0,8,0,51,103,324,1,21,12,0,1,0,5,9
"1o3f",20,298,0,6,59,0,21,232,4,0,25,1,0,1,0,5
"1o3p",27,362,0,26,45,0,55,263,5,3,26,0,0,0,0,6
"1olu",25,302,0,11,41,15,58,202,4,10,13,0,0,0,4,12
"1om1",7,248,0,5,8,0,186,56,0,2,37,0,0,0,1,2
"1p1q",25,274,3,27,2,62,113,92,1,11,14,1,0,0,2,5
"1pb9",19,206,7,19,6,59,80,54,4,7,12,1,0,0,1,1
"1pbq",10,228,0,9,0,49,86,94,0,8,29,0,2,0,1,2
"1ppm",14,346,0,2,35,0,102,221,2,5,22,0,0,0,0,17
"1pr5",15,237,0,36,0,14,99,103,4,1,20,0,0,0,0,6
"1q7a",5,152,3,0,7,66,0,81,0,1,27,0,0,1,0,6
"1q8t",4,196,0,18,1,1,123,57,1,3,17,0,0,0,0,4
"1re8",20,444,0,34,22,13,236,159,3,3,35,1,0,0,2,9
"1rnt",14,289,0,4,26,0,103,170,3,10,14,0,0,0,2,7
"1s39",6,201,0,7,7,50,99,44,3,2,28,0,2,0,0,1
"1sl3",13,400,0,49,19,0,69,276,2,7,30,0,1,1,0,10
"1slg",13,286,0,1,0,0,221,77,3,5,17,1,0,1,0,26
"1sqa",8,270,0,5,57,0,46,170,4,1,18,0,1,0,1,8
"1sv3",8,135,0,0,15,47,0,81,0,2,12,0,0,0,1,2
"1syh",23,317,6,27,4,76,133,94,3,9,27,1,0,0,2,4
"1tmn",15,234,0,12,0,77,85,75,3,3,10,0,0,0,6,19
"1trd",16,182,0,19,16,0,73,90,2,11,3,0,0,0,2,4
"1tsy",21,218,5,9,0,26,81,118,2,6,5,0,0,0,2,6
"1ttm",11,176,0,0,7,23,55,102,1,2,16,0,0,0,0,3
"1u1b",14,297,0,22,0,41,176,72,3,8,13,0,2,0,7,16
"1u2y",13,158,0,0,5,5,25,136,1,1,4,0,0,0,0,6
"1u33",33,411,0,3,19,36,82,304,7,6,19,0,0,0,0,18
"1utp",5,171,0,4,28,0,15,129,2,0,7,0,0,0,1,5
"1uwt",13,251,0,0,0,0,103,161,3,3,17,0,0,0,0,6
"1v16",15,300,0,8,33,1,30,243,1,11,16,0,0,0,4,9
"1v2o",11,223,0,7,66,0,18,143,3,3,15,0,0,0,0,11
"1vfn",9,162,0,29,0,0,52,90,2,2,12,0,0,1,0,0
"1vzq",16,391,0,34,34,0,58,281,4,3,33,0,0,1,1,7
"1x1z",22,343,0,13,10,0,140,202,3,15,8,0,0,0,1,7
"1xd1",32,462,0,0,47,43,57,347,6,4,23,0,0,0,3,34
"1xgj",13,222,4,30,10,79,32,80,0,5,13,0,0,2,1,6
"1y1m",13,182,0,16,0,34,96,49,3,5,17,1,0,0,2,2
"1y6q",12,298,0,22,23,30,76,159,6,1,22,0,2,0,2,6
"1ydt",6,301,0,37,9,0,178,83,0,1,36,1,0,0,1,8
"1zc9",28,286,14,0,12,27,13,248,0,9,14,0,0,0,0,7
"1zoe",7,184,0,4,1,1,129,56,1,1,15,0,0,0,0,1
"1zs0",15,265,5,8,28,73,33,133,0,6,28,2,1,0,3,7
"1zvx",14,285,2,16,28,80,27,146,1,7,37,1,2,0,3,7
"2aou",6,243,5,0,0,143,17,84,1,0,50,0,4,1,0,7
"2aov",7,145,1,0,2,62,3,84,2,0,14,0,1,1,0,3
"2ayr",15,350,17,0,1,269,0,78,1,2,38,0,0,2,1,9
"2azr",17,218,8,0,5,45,5,172,0,9,25,0,0,0,3,4
"2b1v",3,170,8,0,0,137,0,28,2,1,15,0,0,1,0,4
"2b7d",35,460,0,9,70,0,23,393,5,4,25,1,0,1,1,12
"2bak",12,396,0,16,18,50,187,137,2,3,47,1,0,1,2,10
"2bok",11,318,0,30,28,11,59,201,3,3,37,2,0,0,0,7
"2brb",5,225,0,22,3,9,152,44,0,3,22,0,0,0,0,6
"2brm",7,252,0,25,5,3,157,69,1,2,20,0,0,0,0,6
"2bz6",17,405,0,42,37,0,67,276,5,5,37,0,0,1,1,10
"2bzz",38,567,0,16,0,40,188,361,2,23,17,0,2,0,5,22
"2c02",10,225,0,1,0,53,85,96,2,9,9,0,1,0,5,9
"2ceq",18,240,0,0,0,9,122,127,2,3,25,0,1,0,0,5
"2cer",16,278,0,1,0,6,112,175,5,3,27,0,1,0,0,8
"2cet",18,290,0,0,0,63,108,137,3,4,32,0,1,0,0,8
"2cgr",5,250,0,18,21,0,133,83,2,2,36,0,1,3,1,6
"2ctc",10,159,0,0,1,3,23,142,1,4,11,0,0,0,5,4
"2d0k",9,294,2,21,0,139,72,69,3,3,20,0,0,0,2,10
"2d1o",18,331,1,22,64,41,31,190,5,2,23,0,0,0,1,20
"2d3u",6,194,4,0,15,124,0,57,0,2,33,0,2,0,0,5
"2d3z",5,182,2,0,13,118,0,54,0,2,28,0,0,0,0,5
"2drc",0,5,0,0,0,1,0,4,0,1,0,0,0,0,0,11
"2er9",25,495,0,10,62,0,114,334,7,6,31,0,0,0,1,34
"2f01",10,225,0,1,11,0,144,79,2,7,22,0,0,0,0,5
"2f80",23,388,0,29,37,0,164,181,4,5,25,0,0,0,0,14
"2fai",6,166,9,0,0,144,0,19,2,1,15,0,0,1,0,4
"2fdp",17,332,0,7,62,0,110,170,2,3,32,0,0,1,4,15
"2flb",31,328,0,27,48,0,42,242,4,0,17,0,0,1,0,5
"2g5u",5,91,0,3,0,0,84,9,0,0,8,0,0,0,0,3
"2g8r",14,245,0,12,7,42,97,101,1,5,11,0,0,0,1,6
"2g94",23,459,0,24,67,1,124,266,4,11,35,0,0,0,0,20
"2gss",7,140,0,0,4,46,16,81,0,5,16,0,1,0,1,6
"2h3e",33,306,16,0,16,113,41,153,2,14,7,0,0,0,3,7
"2hdq",6,130,0,0,2,0,16,118,0,6,20,0,1,0,2,1
"2i0d",14,393,0,12,41,0,97,257,2,7,25,0,0,0,0,15
"2j77",18,211,0,0,0,13,88,128,4,3,16,2,0,0,3,5
"2j78",22,277,0,0,0,0,113,186,4,4,18,0,0,0,0,6
"2qwb",21,219,0,0,0,0,118,122,5,5,7,0,0,0,2,10
"2qwd",23,272,0,0,1,0,141,153,4,5,8,0,0,0,4,9
"2qwe",39,409,0,14,10,0,217,207,6,5,12,0,0,0,14,13
"2rkm",14,266,1,22,25,57,75,100,6,2,14,0,0,0,3,14
"2std",4,173,1,0,0,42,49,85,1,1,22,0,0,1,0,4
"2usn",12,183,0,31,3,26,75,60,2,3,20,1,0,0,0,8
"3gss",27,456,8,10,9,100,41,315,3,13,37,0,1,0,2,19
"3pce",9,191,0,2,0,4,98,96,1,3,25,0,0,1,0,3
"3pch",21,192,0,3,0,0,118,92,1,2,21,0,0,0,0,2
"3pcj",16,191,0,1,0,3,88,115,0,5,15,0,0,0,0,2
"4er2",17,379,0,12,50,6,110,218,6,6,15,0,0,0,1,30
"4tim",19,198,0,20,17,0,53,127,0,10,6,0,0,0,3,5
"4tln",12,126,0,7,0,61,22,48,2,1,1,0,0,0,3,5
"4tmn",15,293,0,17,0,91,78,122,1,6,27,0,0,0,5,14
"5er1",9,263,0,14,35,0,96,127,4,2,27,0,0,0,5,19
"6rnt",19,250,0,0,19,0,70,180,1,7,6,1,1,0,3,7
"6std",5,207,4,0,0,78,60,70,1,1,33,0,0,1,0,4
"7cpa",18,295,0,9,0,6,44,254,1,10,14,0,1,0,9,15
"8cpa",16,272,0,5,0,7,42,234,2,7,13,0,1,0,9,12
