Complex,VINA,GlideSP,HMS,DSX,RFScore,Experimental
11gs,-7.2385,-11.89,-9.463624732,-141.087,-8.89966638089,-8.040627145
1a0q,-7.76656,-9.57,-9.132052479,-110.475,-8.77551026328,-10.45834149
1a1c,-6.02728,-9.71,-8.67614063,-121.725,-8.66933606636,-8.841926757
1a1e,-6.19781,-9.41,-8.828111247,-124.795,-8.60755862935,-8.289306335
1a42,-5.17747,-6.46,-7.612346317,-93.326,-10.5889901706,-13.66353994
1a4k,-8.80477,-6.19,-9.007712884,-116.801,-9.66595576879,-11.05240845
1a4r,-8.44383,-9.95,-8.151151229,-120.487,-6.8526604933,-9.201130032
1a4w,-8.64756,-10.83,-10.15440026,-162.399,-10.6593793559,-8.17878225
1a7x,-11.9765,-13.92,-13.40104524,-226.323,-11.4632226832,-13.40104524
1a94,-8.29262,-14.93,-12.15764929,-260.658,-10.0053459557,-10.84517579
1a99,-4.27739,-7.11,-6.728153642,-50.207,-8.79500693132,-7.874841018
1a9m,-8.08736,-11.84,-10.09913822,-193.686,-9.89034786069,-9.560333306
1aaq,-8.40496,-12.82,-11.41161172,-208.81,-10.1733849695,-11.60502887
1abf,-6.80225,-7.89,-7.971549592,-55.888,-6.22477460242,-7.488006722
1add,-7.85427,-8.15,-8.275490824,-96.712,-10.1168856885,-9.311654116
1adl,-5.83504,-8.56,-9.104421458,-106.442,-9.82409993187,-7.405113659
1ado,-4.11135,-6.43,-6.203164241,-20.052,-5.69872543288,-8.289306335
1af2,-9.59984,-8.32,-8.247859803,-106.72,-7.84701947848,-4.282808273
1af6,-6.71589,-6.11,-7.695239381,-75.855,-7.54601769436,-2.514422922
1afk,-6.63552,-9.07,-7.791947955,-90.318,-7.4097112867,-9.145867989
1afl,-6.04371,-9.72,-7.66760836,-95.635,-7.85030098715,-8.67614063
1agm,-9.01636,-10.89,-10.19584679,-180.844,-8.32379862088,-16.57861267
1ai4,-5.28394,-8.09,-7.377482638,-56.003,-7.22942404053,-3.453877639
1ai7,-5.14534,-5.75,-7.197881001,-47.764,-5.97686900642,-5.650543818
1aid,-6.69403,-6.12,-9.933352091,-92.03,-9.15862463973,-6.659076089
1aj7,-7.10807,-8.39,-7.971549592,-86.458,-7.43318091292,-5.346602586
1ajn,-5.42685,-8.11,-7.570899786,-54.212,-7.63564380804,-3.633479277
1ajv,-11.4712,-11.33,-12.84842482,-246.718,-13.2052103791,-10.66557415
1ajx,-11.5654,-11.04,-12.65500767,-228.807,-12.256094603,-10.92806885
1alw,-4.18768,-6.63,-7.004463853,-44.304,-6.54295900734,-9.007712884
1amw,-6.34877,-10.5,-7.460375701,-78.024,-6.77772121112,-6.272241793
1apb,-6.98638,-7.92,-7.805763465,-57.02,-6.12430158697,-8.040627145
1apv,-8.53634,-10.52,-10.40307945,-161.476,-10.2005546792,-12.4339595
1atl,-5.66419,-5.32,-8.137335719,-132.949,-8.52172489915,-8.67614063
1ax0,-5.25142,-7.48,-6.949201811,-78.382,-5.51263685078,-4.324254805
1axz,-4.55562,-7.11,-6.617629557,-63.309,-6.51696616018,-4.420963379
1b8n,-9.6298,-12.03,-8.841926757,-116.81,-9.09266076677,-14.53391711
1b8y,-9.73126,-8.18,-10.26492434,-178.68,-9.99191972457,-10.84517579
1bai,-7.85392,-14.16,-11.99186316,-239.278,-10.590288514,-10.63794313
1bap,-6.33636,-7.69,-7.529453254,-50.647,-6.06853104412,-9.463624732
1bcd,-3.80589,-4.51,-6.327503836,-41.09,-8.39242254248,-12.01949419
1bdq,-9.20803,-9.07,-11.99186316,-197.852,-10.451648964,-8.759033694
1bgq,-8.65399,-9.23,-8.966266352,-89.421,-9.23749216451,-11.83989255
1bhf,-5.91937,-13.92,-7.957734081,-137.804,-8.10086340285,-6.051193624
1bhx,-8.94956,-12.01,-9.629410859,-154.561,-9.95202677264,-9.449809222
1bn1,-5.18587,-5.55,-8.220228782,-69.583,-10.9346717444,-12.90368686
1bn3,-6.39592,-5.84,-8.234044293,-79.843,-10.7030680649,-13.66353994
1bn4,-4.24516,-5.86,-7.791947955,-73.118,-10.8220417156,-12.86224033
1bnn,-5.63643,-5.88,-8.275490824,-82.781,-10.7247855869,-13.81551056
1bnq,-5.85992,-6.22,-7.336036106,-88.482,-10.6445326677,-13.11091952
1bnt,-6.39086,-6.88,-8.303121845,-85.357,-10.3578820074,-13.53920035
1bnu,-5.76581,-7.08,-7.943918571,-85.371,-10.4259035946,-13.40104524
1bnv,-5.32548,-6.61,-8.386014909,-87.748,-10.3902429988,-12.11620276
1bnw,-4.62724,-6.13,-7.308405085,-68.947,-10.865038808,-12.54448359
1bp0,-7.20039,-9.56,-7.93010306,-85.737,-6.8082902137,-7.460375701
1bq4,-6.57376,-7.5,-7.736685912,-13.993,-6.92811052312,-7.211696511
1br6,-7.97904,-6.11,-9.035343905,-90.893,-9.10862699973,-4.4485944
1bv7,-13.9787,-16.89,-15.51481836,-280.371,-11.429562751,-12.84842482
1bv9,-13.5444,-16.85,-15.48718734,-285.923,-11.3829989542,-12.37869746
1bwa,-13.14,-17.38,-14.69970323,-286.899,-11.3881189824,-10.49978802
1bwb,-14.4298,-16.3,-15.66678897,-306.031,-10.7888694466,-11.63265989
1bxq,-8.68249,-13.76,-11.121486,-184.646,-9.00903027622,-10.19584679
1bxr,-11.6317,-11.08,-10.65175864,-165.678,-7.57438313649,-4.69727359
1byk,-9.48877,-8.26,-9.463624732,-129.672,-7.42098669388,-6.907755279
1bzc,-9.39299,-9.02,-10.08532271,-141.657,-7.48171900871,-6.797231195
1bzh,-6.69452,-7.31,-8.980081863,-106.834,-7.87239001489,-9.353100648
1bzy,-10.7548,-13.2,-10.12676924,-143.785,-8.09430501854,-11.52213581
1c1r,-8.32485,-9.68,-8.358383888,-113.64,-8.35827908899,-10.54123456
1c1u,-8.24339,-10.37,-8.040627145,-110.856,-9.86965928654,-11.39779621
1c1v,-7.81406,-11.51,-8.247859803,-93.907,-9.61242234163,-10.55505007
1c4u,-9.19215,-11.52,-10.04387618,-180.856,-11.3921823662,-14.32668445
1c4v,-9.84378,-10.44,-11.43924274,-193.02,-10.846022084,-14.9207514
1c5c,-9.25945,-11.2,-9.90572107,-96.257,-9.21599435794,-9.615595348
1c5n,-5.45393,-7.47,-7.847209997,-71.371,-6.57147193649,-6.493289962
1c5o,-5.04557,-7.81,-6.714338131,-68.949,-6.38700309487,-4.821613185
1c5p,-5.6309,-8.6,-6.893939768,-73.47,-6.16883883702,-6.465658941
1c5q,-6.12951,-7.93,-7.93010306,-75.871,-6.3062012393,-8.786664715
1c5s,-6.08783,-8.48,-7.225512022,-71.637,-6.08755512714,-8.289306335
1c5t,-6.1693,-8.4,-7.18406549,-78.504,-6.54463024154,-5.664359329
1c5x,-6.17104,-8.25,-8.040627145,-75.209,-6.60200467534,-9.228761053
1c5y,-6.34499,-8.81,-7.322220596,-71.212,-6.87337353889,-5.802514434
1c5z,-5.7483,-8.63,-6.963017321,-71.092,-6.28347281658,-5.540019734
1c70,-11.5166,-15.29,-12.88987135,-245.195,-12.5397579095,-14.22997587
1c83,-8.58217,-12.27,-8.814295736,-101.421,-7.58784599009,-6.700522621
1c84,-8.7865,-11.3,-9.546517796,-91.717,-7.42961824053,-6.907755279
1c86,-7.89746,-12.06,-8.579432056,-103.675,-7.47988820149,-6.493289962
1c87,-8.00853,-12.38,-8.17878225,-104.748,-7.41979156787,-5.802514434
1c88,-8.32626,-11.74,-8.441276951,-106.117,-7.98856472483,-7.308405085
1caq,-10.816,-9.13,-11.3839807,-203.684,-10.307445723,-10.66557415
1cbx,-7.22172,-8.89,-8.42746144,-79.465,-7.76981753542,-8.772849204
1ce5,-5.51112,-8.72,-6.9353863,-74.063,-6.22653379066,-6.548552004
1cea,-4.06844,-6.07,-6.631445068,-49.125,-5.25953079116,-6.852493237
1ceb,-5.45634,-9.11,-7.584715296,-66.464,-5.43085376879,-8.289306335
1cet,-5.01016,-5.31,-8.482723483,-76.893,-6.66678499032,-3.992682551
1cgl,-7.03421,-5.95,-8.800480225,-190.064,-9.92342855164,-9.491255753
1ch8,-10.9884,-9.96,-9.809012496,-134.422,-7.30582368313,-9.670857391
1cil,-5.86434,-7.38,-7.943918571,-83.151,-10.8056334942,-13.02802646
1cim,-5.48707,-7.3,-7.847209997,-66.951,-11.0654769983,-12.18528031
1cin,-5.64366,-6.92,-7.750501423,-71.765,-11.1080582439,-12.06094072
1ciz,-10.7226,-8.71,-11.32871866,-192.892,-10.359023629,-10.27873986
1cnw,-4.51639,-6.52,-6.728153642,-89.156,-9.31141664279,-10.66557415
1cnx,-4.56372,-5.75,-6.990648342,-90.802,-9.39749970753,-10.18203128
1cny,-4.08876,-5.36,-7.515637744,-81.209,-9.39109437632,-10.84517579
1ct8,-8.54823,-11,-10.11295373,-130.902,-8.91745738052,-9.007712884
1ctt,-8.84366,-8.03,-8.358383888,-106.226,-7.52348520652,-6.244610772
1ctu,-8.83905,-8.18,-8.316937356,-100.879,-7.57154535854,-16.46808859
1d2e,-9.61993,-10.54,-9.062974926,-145.365,-7.56842882919,-8.289306335
1d4y,-10.6825,-13.03,-12.07475623,-194.119,-12.0121131722,-15.33521672
1d6v,-9.36391,-9.46,-10.32018639,-110.065,-9.49641550212,-8.524170014
1d6w,-9.53689,-11.47,-9.974798623,-172.445,-10.913808818,-8.234044293
1d7i,-2.34715,-6.18,-5.857776477,-34.596,-7.84250230856,-4.973583801
1d9i,-8.92009,-10.87,-9.629410859,-164.545,-10.6645137103,-12.58593012
1dfo,-9.53358,-13.29,-10.01624515,-149.36,-8.5202831067,-9.256392074
1dhj,-8.04483,-10.94,-9.104421458,-124.263,-9.69483855312,-9.049159415
1dif,-11.2298,-16.96,-13.89840362,-265.328,-11.1754850505,-14.72733425
1dl7,-4.1043,-8.22,-7.156434469,-91.787,-7.54438702905,-8.966266352
1dqn,-8.98159,-11.03,-8.800480225,-106.431,-7.09055895685,-11.05240845
1dqx,-9.45074,-12.11,-9.187314521,-104.866,-7.49341883479,-15.26613917
1drj,-7.18032,-7.6,-8.247859803,-73.597,-6.33467157262,-10.22347781
1drk,-7.2595,-7.6,-8.261675314,-73.592,-6.23981559289,-9.422178201
1dud,-7.36455,-10.08,-7.778132444,-93.314,-6.78695690633,-6.659076089
1duv,-9.36125,-8.37,-9.1596835,-106.905,-8.1169182361,-16.30230246
1dy4,-9.14247,-8.25,-9.560333306,-110.938,-9.34429801288,-6.023562603
1dzk,-4.96457,-6.03,-6.963017321,-53.94,-7.50326539463,-8.42746144
1e3v,-7.1707,-6.03,-9.919536581,-89.737,-11.1551681667,-5.995931582
1e4h,-5.99595,-4.22,-8.634694099,-40,-5.73764665121,-11.61884438
1e6q,-6.68984,-10.82,-7.557084275,-62.074,-7.35847426694,-4.351885826
1e6s,-6.18695,-7.66,-7.349851617,-66.141,-7.08703431386,-4.4485944
1ec9,-7.81325,-6.24,-7.66760836,-48.257,-7.04908292699,-4.282808273
1ecq,-5.85999,-5.51,-7.336036106,-50.407,-6.72059267599,-4.144653167
1ecv,-8.07231,-10.86,-9.007712884,-87.077,-7.13372744424,-6.700522621
1efy,-8.35981,-10.06,-8.41364593,-89.89,-9.07962285856,-11.35634968
1egh,-5.80269,-8.98,-6.907755279,-55.426,-5.90239840268,-7.874841018
1eix,-9.87827,-11.79,-9.463624732,-114.964,-7.44699446102,-15.27995468
1ejn,-9.18153,-10.23,-9.118236968,-140.735,-10.4181434522,-7.764316934
1elc,-6.33708,-8.47,-9.007712884,-152.705,-11.3214679588,-9.201130032
1eld,-8.28377,-7.39,-9.864274538,-148.81,-9.69815283648,-9.256392074
1ele,-7.49024,-7.31,-9.518886774,-136.407,-7.71432182449,-9.463624732
1elr,-5.93918,-14.4,-7.819578976,-132.233,-8.38340664994,-6.852493237
1ent,-8.28652,-10.85,-10.9971464,-183.044,-9.62197782208,-9.615595348
1epo,-10.154,-11.29,-11.13530151,-200.12,-10.8319981202,-10.9971464
1erb,-9.53284,-9.23,-10.41689496,-136.788,-9.45720980689,-11.19056355
1ew8,-0.33432,-4.26,-6.023562603,0.789,-6.48150407521,-3.122305386
1ew9,-0.14996,-3.98,-5.553835244,5.4,-6.70902442013,-4.4485944
1ex8,-11.3333,-14.88,-11.16293253,-177.292,-9.15478198704,-8.745218183
1ez9,-5.39879,-8.68,-7.460375701,-116.658,-7.87730695587,-7.045910385
1ezq,-10.2382,-12.04,-11.53595132,-190.153,-10.2061898724,-12.50303705
1f0r,-9.665,-8.64,-9.076790437,-142.478,-9.82217288105,-10.58268109
1f0s,-9.29946,-8.32,-8.648509609,-133.415,-9.23796013601,-10.69320517
1f0t,-7.70404,-9.92,-8.275490824,-134.829,-8.69253377898,-8.289306335
1f0u,-8.04155,-10.41,-10.04387618,-168.586,-8.39913809129,-9.89190556
1f3e,-7.77754,-11.85,-8.012996124,-76.54,-6.67117800388,-9.256392074
1f4x,-5.57315,-6.27,-7.460375701,-107.426,-5.95181715485,-7.722870402
1f5l,-7.51455,-7.6,-8.054442655,-67.652,-6.07396751991,-7.294589575
1f9g,-2.79486,-4.74,-5.636728308,-17.696,-5.4568908491,-1.768385351
1fao,-6.71583,-9.85,-8.192597761,-106.81,-7.33969113814,-10.18203128
