PDB,VINA,GlideSP,HMS,DSX,RFScore,Experimental
1e66,-12.13013,-7.57,-9.836643517,-116.394,-9.836978588,-13.66353994
10gs,-7.37179,-8.88,-10.54123456,-135.583,-9.714496632,-8.841926757
1a08,-4.22348,-8.27,-8.620878588,-126.178,-9.199983153,-7.764316934
1a1b,-4.66979,-7.96,-8.814295736,-123.594,-8.423079918,-8.841926757
1a30,-6.57445,-9.53,-8.344568377,-116.025,-8.961582135,-5.94066954
1a69,-8.67085,-7.83,-8.303121845,-103.264,-7.848177005,-7.322220596
1ai5,-7.01979,-9.83,-7.819578976,-65.688,-6.520065881,-5.139369928
1ajp,-6.35536,-8.23,-7.211696511,-72.225,-5.596472439,-3.080858854
1ajq,-5.06761,-8,-6.990648342,-57.659,-6.148076899,-5.95448505
1apw,-8.46231,-11.12,-10.87280681,-177.353,-11.3939582,-11.05240845
1avn,-2.68785,-5.86,-5.913038519,-17.975,-7.266730361,-5.388049118
1b39,-6.5096,-7.32,-9.062974926,-126.367,-7.96661352,-9.560333306
1b7h,-7.9995,-10.28,-10.48597251,-209.712,-9.162337814,-11.08003947
1b8o,-8.38505,-10.43,-9.090605947,-108.13,-10.28426765,-14.69970323
1b9j,-8.117,-10.93,-10.22347781,-180.199,-9.03847376,-8.234044293
1bcu,-7.34364,-6.47,-7.639977339,-80.094,-8.634155464,-4.531487463
1bma,-5.62703,-7.8,-10.26492434,-146.197,-10.50070987,-6.341319346
1bra,-4.06883,-7.78,-6.852493237,-60.794,-5.940028843,-2.514422922
1bxo,-11.87348,-14.52,-12.59974563,-183.232,-11.09288654,-13.81551056
1d09,-7.09793,-8.01,-7.791947955,-81.064,-7.117675849,-10.45834149
1d7j,-3.16168,-5.01,-5.982116072,-36.014,-4.274553289,-4.559118484
1det,-5.94258,-9.33,-7.584715296,-85.945,-7.549311233,-5.94066954
1df8,-6.6856,-9.93,-8.054442655,-103.045,-8.582073477,-13.40104524
1dhi,-8.24977,-10.64,-9.394547179,-120.035,-9.138789062,-10.03006067
1e1v,-6.48856,-6.99,-7.308405085,-93.781,-7.868861918,-6.797231195
1e5a,-2.25156,-2.19,-7.225512022,-16.733,-5.025088506,-10.55505007
1ela,-7.97656,-9.19,-10.27873986,-155.059,-10.36015866,-8.786664715
1elb,-5.41564,-4.23,-9.214945542,-101.676,-10.41548152,-9.878090049
1f4e,-6.5472,-6.64,-8.220228782,-73.11,-7.836451985,-4.089391125
1f4f,-8.32736,-9.02,-9.228761053,-110.396,-9.017133877,-6.382765878
1f4g,-9.07296,-9.51,-9.753750454,-153.448,-9.152602639,-8.952450842
1f5k,-5.20772,-8.99,-6.880124258,-66.442,-6.015185755,-5.167000949
1fcx,-15.57873,-16.26,-13.98129668,-184.697,-11.03587465,-9.933352091
1fcz,-14.60515,-15.73,-13.44249177,-170.433,-10.83582308,-12.73790073
1fd0,-16.03525,-16.39,-14.36813098,-184.189,-11.21804845,-11.60502887
1fh7,-7.13129,-8.25,-8.137335719,-101.078,-7.437918652,-7.239327532
1fh8,-7.0902,-7.85,-8.151151229,-108.16,-8.021195203,-9.518886774
1fh9,-8.11814,-6.76,-8.316937356,-104.385,-7.89694542,-8.883373289
1fkb,-10.60521,-9.2,-13.05565748,-170.998,-10.79113381,-13.40104524
1fki,-11.45228,-7.61,-10.66557415,-114.271,-9.539452356,-9.670857391
1fkn,-8.47772,-14.73,-12.2958044,-234.36,-11.05768841,-12.15764929
1flr,-11.33178,-10.94,-11.13530151,-118.613,-9.191063219,-13.81551056
1ftm,-7.30018,-8.27,-8.344568377,-92.433,-7.042814765,-10.51360353
1fzj,-10.1737,-17.31,-13.8707726,-241.819,-9.472873418,-11.19056355
1fzk,-10.96841,-15.61,-13.81551056,-247.569,-10.35310213,-11.60502887
1g7f,-6.25887,-7.25,-9.049159415,-148.686,-8.255335244,-7.557084275
1g7q,-8.82199,-10.64,-10.61031211,-181.075,-9.37241323,-8.372199398
1gni,-7.13315,-5.29,-9.40836269,-139.292,-9.009701893,-11.15
1gpk,-9.91459,-9.47,-8.468907972,-102.917,-9.019134628,-7.41892917
1h23,-10.0317,-12.69,-11.32871866,-202.267,-11.77363634,-11.53595132
1ha2,-9.38686,-7.25,-9.822828007,-105.23,-8.820825903,-7.65
1hfs,-9.94995,-13.63,-13.71880198,-281.932,-11.50254484,-12.01949419
1hi4,-6.82675,-8.66,-8.082073676,-99.291,-7.643937696,-6.203164241
1hk4,-7.87449,-8.13,-10.5964966,-82.346,-8.877599393,-7.34
1if7,-5.32272,-5.53,-9.1596835,-81.53,-10.54591526,-14.53391711
1is0,-5.39298,-10.31,-8.938635331,-140.462,-8.740000234,-9.670857391
1j16,-5.21943,-7.41,-7.004463853,-69.288,-6.070096856,-5.305156054
1j17,-10.71152,-7.33,-9.809012496,-166.077,-10.64427304,-7.211696511
1jaq,-6.18182,-6.66,-8.441276951,-107.804,-7.738195743,-6.18934873
1jq9,-6.29493,-7.4,-10.0715072,-163.314,-9.703880992,-11.67410642
1jqd,-8.46691,-9.9,-8.731402673,-160.346,-8.275286691,-7.128803448
1jys,-4.8367,-6.9,-6.68670711,-53.044,-7.818104798,-4.863059716
1k4g,-8.88702,-10.45,-8.703771652,-110.021,-8.364977121,-8.082073676
1k9s,-7.74503,-9.69,-8.455092461,-109.355,-8.405436263,-9.007712884
1kv1,-9.49377,-9.46,-10.51360353,-128.216,-9.439278264,-8.206413271
1kv5,-2.92901,-7.87,-7.004463853,-44.791,-6.054841112,-5.830145455
1l2s,-7.00296,-8.09,-8.537985525,-75.661,-8.123656557,-6.341319346
1lol,-6.67604,-9.55,-7.543268765,-88.407,-7.13153621,-8.828111247
1loq,-7.19066,-10.24,-8.717587162,-96.257,-7.763455055,-5.111738906
1m0n,-5.88435,-8.12,-8.441276951,-97.234,-6.882969566,-3.067043344
1m0q,-5.74194,-7.73,-7.861025507,-96.041,-6.953402993,-5.374233607
1m2q,-9.20386,-7.7,-8.841926757,-74.761,-8.281278315,-8.42746144
1mq6,-8.96448,-8.16,-10.65175864,-177.803,-11.21554742,-15.40429427
1n2v,-7.54523,-9.45,-7.902472039,-83.106,-8.104919743,-5.636728308
1nc1,-9.73782,-10.85,-9.007712884,-126.114,-9.819404154,-8.455092461
1ndw,-7.22302,-8.05,-8.745218183,-81.083,-8.817781806,-7.225512022
1ndy,-7.30388,-9.16,-9.767565964,-90.265,-10.10707204,-8.524170014
1ndz,-10.86651,-10.84,-11.14911702,-160.597,-10.36803876,-11.20437906
1nfy,-9.6191,-8.81,-10.15440026,-144.728,-11.13975737,-12.28198889
1nhu,-6.60796,-5.46,-10.22347781,-97.095,-9.861906596,-7.819578976
1nja,-5.90212,-6.69,-7.709054891,-80.622,-7.601750629,-8.717587162
1nje,-6.43535,-8.08,-7.985365103,-80.099,-7.554552946,-5.249894012
1nny,-10.84708,-14.09,-12.48922154,-230.973,-11.32479983,-10.58268109
1nvq,-12.53099,-11.42,-11.70173744,-175.766,-10.99397596,-11.39779621
1o0h,-6.09239,-7.36,-7.791947955,-93.428,-7.30466465,-8.17878225
1o3f,-8.66683,-8.58,-8.814295736,-114.298,-9.063400171,-10.9971464
1o3p,-9.0474,-8.83,-8.66232512,-126.003,-9.448087988,-9.201130032
1ols,-6.83242,-8.01,-7.68142387,-77.282,-6.726316103,-8.040627145
1olu,-6.09553,-7.62,-7.557084275,-74.412,-6.814602386,-6.092640156
1om1,-10.53008,-10.36,-9.850459028,-101.844,-9.500340811,-9.353100648
1p1q,-7.30246,-7.94,-8.234044293,-88.204,-7.169925243,-6.755784663
1pb9,-4.90651,-7.91,-6.990648342,-56.69,-6.358740643,-5.001214822
1pbq,-7.74571,-9.18,-8.938635331,-78.105,-8.154249196,-8.66232512
