PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
2ymd,-176.5148309,5.834069942,-1.114506557,-36.70618019,-0.255752243,193.1209764,-28.08373344,6.089962046,-4.37
3u9q,-0.285653601,3.029404323,-3.323307772,-43.01222139,0,2.101689842,-35.17122391,3.515783697,-9.16
2zx6,-94.75454781,2.624492456,-3.547687698,-34.13599903,-4.91330126,84.17030631,-46.83067732,11.46083948,-14.64
3f3e,-13.18018766,1.23849731,-1.495137561,-23.9756047,0,35.32014906,-23.30193079,1.757384748,-10.64
3myg,-24.24795273,1.750790982,-2.880071433,-40.01484486,-0.000488901,25.29859442,-54.9462566,4.929039936,-14.78
2w66,-78.72282247,4.476431476,-4.568585771,-23.39333917,0,72.41232271,-32.65868859,13.79876325,-5.6
2fvd,4.26068023,0.403737652,-1.849337973,-31.40879579,-0.312320453,-3.183574528,-54.19272394,3.128222354,-9.44
1jyq,-275.0567737,5.86327423,-26.00855279,-25.9214911,-3.796596949,243.19628,-42.16067232,15.26117034,-12.02
1f8d,-10.83967637,-2.730765703,-15.42374469,-19.05566119,0,30.38312461,-31.55318309,9.006913798,-4.7
3nw9,-47.16071249,3.013362057,-4.813273677,-50.90219308,-2.766997016,65.10244058,-75.46549156,14.03364738,-12.43
2xb8,-44.43568805,-0.443254995,-5.799307909,-37.92140357,-2.516986447,34.86038665,-45.61911378,6.692812452,-10.49
1xd0,-36.36926921,3.867978931,-5.937640682,-52.35576535,0,83.10654829,-73.11918635,26.86536119,-9.84
2d3u,-66.93561893,-0.603984798,-2.128614325,-42.30646025,-3.295957643,65.84016588,-46.17601635,2.941080542,-9.56
3uex,78.49472234,1.880223442,-4.523927664,-81.07073834,0,-60.44049763,-46.29147229,2.364997699,-9.56
2wbg,-57.06427936,5.746768136,-2.943823283,-35.89396578,0,46.78363536,-39.19734547,8.62273056,-6.15
1os0,50.13889546,1.794034452,-2.86105909,-35.54531218,-3.518921406,-25.25181326,-50.17469544,7.786409524,-8.33
2iwx,-28.2386234,1.032542626,-2.038649345,-38.87715312,-0.049517136,21.92272206,-47.59826121,2.984822303,-9.23
3bpc,-96.40728807,0.229936989,-13.38376369,-12.12665189,0,92.40379927,-23.18542503,11.11745734,-6.63
1o5b,-190.7560573,2.029661226,-2.174108032,-26.72972921,-0.14821676,192.5667814,-32.83391884,2.957883147,-7.97
2qmj,-176.3026254,6.5615982,-7.401022931,-45.04052961,0,168.2257933,-47.60281596,15.46878107,-5.82
2x8z,395.7860142,1.570511573,-5.470461508,-15.57100298,0,-340.6182209,-26.04281751,4.122680988,-11
3zsx,-46.38015005,0.972972346,-3.959974433,-30.01924435,-0.65118855,43.66477328,-42.81556938,8.696020387,-4.53
3b3s,4.873650811,-1.30411288,-2.606790802,-16.50062799,0,33.62435274,-24.80955607,-0.440681964,-3.52
2pq9,-189.300931,3.83404366,-41.42194523,-16.92282886,0,203.5909251,-28.35841629,9.868342867,-11.2
1w3l,-46.92632958,1.661819739,-6.739499682,-29.0309988,0,47.68758614,-39.33123498,11.30142378,-8.68
3cyx,-9.084421906,3.383186296,-4.641724871,-80.03034351,-0.095363544,13.47001849,-91.0621845,12.57346384,-11.05
3jvs,-14.53854573,1.506125839,-0.521002039,-30.70621831,-0.150815958,7.466937026,-41.31997816,7.385524618,-9.04
3f80,4.936896553,0.069035645,-2.253536952,-12.53094227,0,33.86593344,-25.86297133,1.657617862,-5.83
3gcs,-17.07243767,0.284018481,-2.341902805,-49.49052286,-0.316358165,20.73124718,-64.57836368,3.364698258,-10.02
1lor,-10.39252871,5.306641328,-10.96070732,-13.46899708,-1.00E-11,12.75611601,-34.04075492,6.975032647,-15.28
2jdu,-22.20036295,0.490889142,-2.294142562,-7.405817774,0,42.93450207,-18.54892737,2.73436507,-9.28
2zcr,118.8479096,5.640831192,-4.254617689,-49.39519797,-0.273970979,-64.42476564,-55.22775284,6.172730045,-9.49
2y5h,-161.2160358,6.211934459,-0.40399709,-61.73649243,-2.42E-05,199.5643401,-69.44484104,7.374437974,-8
3d4z,0.452803163,0.206902502,-4.494397415,-17.59326298,-1.397145168,-20.04056731,-25.54448173,4.189194941,-6.76
3udh,-107.9359659,1.949565427,-2.312043211,-20.59792198,-0.853455074,95.62831434,-24.82934337,2.078030356,-3.94
1sln,-99.43805821,4.526535956,-2.21517094,-38.88666973,-1.4545117,116.2012936,-56.99116133,12.7737734,-9.17
3i3b,-16.24522471,-0.498393301,-1.547846312,-15.4263786,0,65.01891205,-26.6850522,3.909565988,-3.08
3imc,-7.380179928,0.605038887,-0.437731563,-19.3610688,-0.775211273,4.805913503,-29.27068193,0.8576174,-4.09
