PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
1ajp,-5.010306443,0.782891328,-2.760565354,-27.04753123,0,4.712335455,-30.27851111,1.239761654,-3.08
1ajq,-16.62322196,0.096230998,-2.673353052,-26.27182667,-0.277226642,17.92951492,-25.35472324,0.693737702,-5.95
2g5u,-8.00071314,0.093767462,-0.212240497,-23.39787474,0,5.920346754,-16.92095801,0.643708931,-11.73
1ndy,-34.92957025,4.420855799,-4.740480951,-34.58921872,-1.065208433,38.46025089,-43.37141095,6.324656383,-8.52
1ha2,-22.16047382,0.241290638,-0.488678331,-37.72918209,-0.908455638,36.31111793,-46.43821994,1.015736221,-7.65
1ndz,-32.5523883,-1.544426661,-5.290644271,-48.29707601,-2.821829434,57.03231378,-67.45066194,16.24933824,-11.2
1ndw,-31.27864656,2.601653615,-4.611274948,-30.05723204,-2.057237608,35.6599641,-39.72075355,5.787454817,-7.23
2f80,-19.73414621,4.208035707,-3.027535341,-59.1607112,-0.000224162,0.388431581,-70.64570914,6.197758786,-11.3
1e66,-2.197849212,1.056561406,-0.930228014,-56.45055734,-8.78413818,53.93587207,-54.33710597,1.167690783,-13.66
1sl3,-95.09641558,1.824187223,-0.742953024,-54.9796853,-2.470181822,115.2880085,-69.73591605,6.708629516,-16.37
2f01,-53.12280199,0.656010567,-3.530895689,-43.62984038,0,31.44204777,-37.77077331,0.973139065,-17.96
4tln,-38.88906358,2.586284491,-3.709131486,-16.81304219,0,48.92248715,-22.78580634,4.222485969,-5.14
1d7j,-15.87043886,1.704957388,-1.239774185,-13.07819457,0,4.540587384,-12.52323368,2.569370381,-4.56
1zoe,-3.893377618,2.105424306,-0.028908088,-53.68751481,-0.054306664,8.087769413,-40.14598456,2.368580423,-10.22
1sv3,124.825761,0.395522903,-0.401291925,-16.66188571,-8.23E-08,-95.38541971,-24.63582729,0.582636193,-6.55
6rnt,-31.83712006,4.68629255,-13.25602302,-5.043738152,-5.228903611,20.38734676,-21.26149638,9.414296838,-3.27
2i0d,-9.45510714,7.756825887,-2.638937493,-57.67639753,-0.620138451,4.050700505,-81.07090451,9.860846108,-16.72
2aov,-13.03376651,-0.188516623,-3.468015038,-35.30524654,-2.400214794,23.79464798,-43.86291474,1.347258696,-9.73
2aou,-0.688725869,3.881215265,-0.928038818,-47.17683412,-6.19869092,45.8001862,-56.86006916,6.37304537,-10.68
1g7q,-50.27635184,2.170465625,-7.039679074,-40.60951507,-0.439364744,52.59192499,-79.14789435,13.73905857,-8.37
2er9,-71.96595832,5.963544256,-4.372254008,-59.39005162,-0.001247612,71.68372102,-90.15304102,52.99622674,-10.22
1u2y,-34.97695707,1.127157073,-2.119567787,-10.54576098,0,28.56840562,-19.42523716,1.834134509,-2.4
2j78,-46.23451114,2.244086045,-3.66995376,-16.66421359,0,33.43198035,-22.61238282,4.841796016,-8.87
1slg,-53.71674258,1.800350976,-1.817302183,-25.17951392,0.556458477,41.24915916,-39.49308066,16.15426511,-5.39
1ai5,-2.035911083,0.8280671,-2.565583685,-19.31053536,-0.679470899,5.578832618,-31.5667471,0.724189959,-5.14
2g8r,40.8585038,11.06857857,-2.258101312,-11.32665591,-0.431653624,-23.50500582,-34.81740856,9.924801085,-5.51
1b9j,-131.81029,3.440459007,-7.366594222,-18.11358651,0,136.853179,-55.61578427,8.895283219,-8.23
