PDB,VINA,GlideSP,GlideXP,DSX,RFScore,MMGbsa,HPS,HMS,HSS,XAvg ,Experimental
1yqj,-12.38448,-11.08,-12.2,-159.255,-11.6722487,-107.7995912,-11.39779621,-12.19909582,-10.52741905,-11.37016519,-11.24582559
1g54,-6.39968,-6.09,-5.42,-88.449,-9.530104355,-54.88404946,-7.543268765,-8.109704698,-7.391298149,-7.68142387,-12.18528031
1g53,-6.76869,-6.69,-5.94,-90.997,-9.483427271,-57.03304534,-7.805763465,-8.634694099,-7.68142387,-8.040627145,-12.48922154
1g52,-6.8083,-7.04,-5.94,-89.464,-9.669637788,-61.65414007,-7.999180613,-8.634694099,-7.778132444,-8.137335719,-13.17999707
1yqy,-8.41868,-5.81,-5.05,-135.444,-9.126891465,-49.84476831,-9.145867989,-9.17349901,-9.187314521,-9.17349901,-10.52741905
1kc7,-2.9348,-6.53,-5.19,-40.323,-6.007356048,12.79998816,-6.424212409,-7.087356916,-6.43802792,-6.645260578,-7.626161828
1d7i,-1.72013,-5.37,-2.71,-26.794,-7.531354795,-38.57807645,-5.774883413,-5.843960966,-5.553835244,-5.733436882,-4.973583801
1ogg,-8.48887,-10.62,-14.98,-149.205,-10.66441733,-131.6104792,-9.132052479,-9.1596835,-9.132052479,-9.145867989,-7.17024998
1pgp,-5.6944,-7.49,-13.57,-77.592,-7.122790798,-54.39556897,-7.045910385,-7.446560191,-6.866308747,-7.114987937,-7.874841018
1yc1,-10.65986,-10.13,-10.83,-122.24,-8.945894,-91.43935894,-9.712303922,-10.03006067,-9.435993711,-9.726119433,-8.524170014
1a9m,-8.26766,-11.46,-5.93,-207.676,-11.36157394,-149.6969505,-10.5964966,-10.62412762,-10.7346517,-10.65175864,-9.560333306
1hii,-9.93818,-12.92,-13,-228.709,-11.65923245,-158.1897536,-11.54976683,-12.66882318,-11.71555295,-11.97804765,-10.05769169
1yc4,-7.95153,-8.89,-8.74,-89.558,-8.866172386,-69.42180112,-8.399830419,-8.759033694,-8.151151229,-8.441276951,-9.049159416
1hn2,-9.67598,-8.06,-6.88,-91.673,-9.810682425,-58.75110476,-9.380731669,-9.491255753,-8.579432057,-9.145867989,-8.289306335
2er6,-9.11891,-13.3,-17.68,-254.155,-10.5634895,-161.4374588,-12.33725093,-13.26289014,-11.56358234,-12.39251297,-9.974798623
1ez9,-5.80204,-8.18,-11.26,-132.535,-9.118728844,-111.8015803,-7.93010306,-7.722870402,-7.363667127,-7.68142387,-7.045910385
2aoc,-8.13689,-14.37,-12.89,-245.526,-10.90017457,-202.6480895,-11.28727213,-12.0333097,-11.34253417,-11.56358234,-6.755784663
2hu6,-9.23191,-8.21,-8.49,-148.861,-8.375570773,-67.69036364,-9.380731669,-9.353100648,-9.17349901,-9.297838606,-5.263709523
2aog,-8.62212,-15.24,-16.64,-258.137,-10.98457859,-207.8438807,-11.52213581,-12.64119216,-11.52213581,-11.89515459,-8.67614063
1j14,-5.33278,-8.26,-8.31,-70.448,-5.419439057,-36.29606737,-6.990648342,-7.004463853,-7.280774064,-7.087356916,-6.203164241
1ik4,-4.88529,-7.42,-8.73,-71.297,-6.787647375,-23.79196917,-6.852493237,-7.349851617,-6.783415684,-6.990648342,-10.23729332
2ca8,-5.69893,-7.58,-7.85,-106.314,-7.512490208,-69.39479156,-7.211696511,-7.612346317,-7.294589575,-7.377482638,-6.43802792
1str,-6.99784,-11.62,-12.68,-147.168,-9.694403626,-121.7829639,-9.17349901,-9.463624732,-8.67614063,-9.104421458,-6.589998536
1sts,-7.84696,-11.71,-11.37,-183.896,-10.81443259,-121.9867359,-9.878090049,-10.40307945,-9.477440243,-9.919536581,-6.907755279
1qhc,-8.74689,-11.61,-13.3,-191.533,-10.9049882,-83.67728972,-9.187314521,-9.284023095,-8.897188799,-9.118236968,-10.45834149
1f9g,-4.57793,-4.31,-5.92,-26.399,-5.630354448,-34.91867494,-6.175533219,-6.424212409,-6.009747093,-6.203164241,-1.768385351
1w4o,-6.59618,-10.37,-13.93,-107.969,-5.948824145,-73.04923718,-7.584715296,-8.040627145,-7.584715296,-7.736685912,-7.211696511
1v2r,-7.14249,-9.81,-10.89,-131.651,-10.77094781,-78.1501208,-8.717587162,-8.330752866,-8.759033694,-8.607063078,-4.904506248
1vyf,-6.04276,-6.57,-10.09,-114.357,-9.299613438,-113.2222437,-8.67614063,-9.132052479,-8.082073676,-8.620878588,-11.121486
1vyg,-6.91459,-10.7,-12.74,-140.744,-10.17859398,-122.2931857,-9.270207584,-9.615595348,-8.67614063,-9.187314521,-11.05240845
1upf,-4.60898,-7.11,-6.21,-36.443,-6.074171593,-36.58596572,-6.120271177,-6.382765878,-5.995931582,-6.161717709,-6.355134857
1caq,-10.29883,-7.16,-6.8,-200.977,-10.80990847,-68.54547725,-11.121486,-11.37016519,-11.17674804,-11.21819457,-10.66557415
1o36,-0.68022,-8.51,-10.16,-126.96,-11.32403566,-7.489628536,-8.91100431,-9.17349901,-9.007712884,-9.035343905,-8.234044293
1i9m,-5.75682,-6.04,-5.23,-82.291,-9.597829983,-43.05119276,-7.570899786,-8.689956141,-7.405113659,-7.888656529,-11.71555295
1i9l,-6.10313,-6.41,-5.34,-83.979,-9.598106447,-48.20838115,-7.66760836,-8.634694099,-7.460375701,-7.91628755,-11.71555295
1i9o,-6.4304,-6.05,-5.24,-85.219,-9.4264825,-47.89311229,-7.501822233,-8.358383888,-7.322220596,-7.722870402,-11.63265989
1i9n,-6.08423,-5.74,-4.52,-80.292,-9.454842059,-50.16495635,-7.543268765,-8.455092461,-7.405113659,-7.805763465,-11.96423214
1i9q,-6.33173,-5.88,-5.24,-86.069,-9.5419728,-56.89902795,-7.529453254,-8.372199398,-7.363667127,-7.750501423,-11.61884438
1i9p,-5.67722,-5.2,-4.63,-78.118,-9.401118604,-49.43948415,-7.308405085,-8.206413271,-7.280774064,-7.598530807,-11.61884438
1wm1,-7.14026,-6.64,-6.05,-82.526,-8.816912217,-57.41661015,-7.888656529,-8.67614063,-8.344568377,-8.303121845,-8.703771652
1hnn,-8.33933,-8.2,-7.3,-73.632,-8.839995261,-43.47761846,-8.026811634,-8.192597761,-7.474191212,-7.902472039,-8.620878588
1hi5,-4.7733,-6.45,-7.18,-70.847,-7.798309307,-41.55128946,-6.741969152,-7.073541406,-6.548552004,-6.783415684,-5.581466265
1a94,-8.85884,-14.84,-12.4,-284.139,-10.6228176,-179.7349206,-12.0333097,-13.11091952,-11.93660112,-12.36488195,-10.84517579
1ikt,-7.35595,-8.29,-7.77,-151.875,-9.338041741,-124.7897771,-9.366916158,-9.781381475,-8.689956141,-9.284023095,-4.69727359
1c70,-11.95572,-13.64,-12.04,-248.114,-11.77861596,-146.6413019,-12.62737665,-13.64972443,-12.65500767,-12.97276441,-14.22997587
2mas,-9.6755,-7.46,-7.15,-97.357,-8.265641394,-49.80854883,-8.524170014,-9.132052479,-8.468907972,-8.703771652,-10.38926394
2h4n,-4.9816,-5.27,-3.93,-46.581,-9.783781017,-52.2476604,-6.769600173,-7.225512022,-6.824862216,-6.9353863,-12.01949419
1oe8,-5.49231,-8.52,-9.43,-103.435,-7.548995623,-66.64193063,-6.976832832,-7.377482638,-7.073541406,-7.142618958,-7.626161828
1mq5,-9.77615,-7.15,-8.07,-171.826,-11.50785333,-89.42308687,-9.864274538,-10.37544843,-10.29255537,-10.18203128,-12.4339595
1m5w,-5.15874,-6.88,-7.77,-53.301,-5.728036566,-40.69856224,-6.783415684,-7.059725895,-6.9353863,-6.92157079,-5.899223008
1wvj,-9.84232,-8.95,-8.91,-111.147,-8.493210793,-96.18603078,-8.869557778,-8.938635331,-8.66232512,-8.814295736,-9.297838606
1gah,-9.14877,-9.91,-18.66,-191.637,-8.650914317,-144.9495461,-9.90572107,-10.61031211,-9.629410859,-10.04387618,-16.57861267
1t32,-11.13533,-11.37,-9.22,-173.958,-11.40235395,-82.39401175,-11.32871866,-12.93131788,-11.09385498,-11.78463051,-10.25110883
1ui0,-5.16625,-8.35,-8.78,-57.519,-6.46128097,-38.14219625,-6.520920983,-6.769600173,-6.493289962,-6.589998536,-9.753750454
1t31,-10.00975,-11.51,-12.9,-158.864,-10.85983635,-90.24727038,-10.41689496,-12.32343542,-10.52741905,-11.09385498,-11.93660112
1tng,-3.91466,-6.79,-5.27,-68.681,-4.912697215,-28.76718415,-6.617629557,-6.631445068,-6.990648342,-6.741969152,-4.047944594
1tnl,-4.29886,-6.05,-5.36,-73.137,-5.26567499,-31.5516091,-6.797231195,-7.073541406,-7.18406549,-7.018279363,-2.597315985
1tnk,-3.83896,-6.01,-5.85,-72.258,-5.193921373,-16.31587006,-6.68670711,-6.589998536,-7.032094874,-6.769600173,-2.058511073
1igj,-9.64407,-7.76,-8.78,-140.235,-11.02578247,-106.3141292,-9.947167602,-11.19056355,-9.477440243,-10.2096623,-13.81551056
1c87,-7.17452,-10.68,-16.28,-100.165,-7.381165067,-77.31723999,-7.764316934,-8.192597761,-7.460375701,-7.805763465,-5.802514434
