PDB,VINA,GlideSP,GlideXP,DSX,RFScore,MMGbsa,HPS,HMS,HSS,XAvg ,Experimental
1gni,-7.13315,-5.29,-12.09,-139.292,-9.009701893,-110.4349258,-9.767565964,-9.40836269,-8.468907972,-9.214945542,-11.15
1ha2,-9.38686,-7.25,-7.15,-105.23,-8.820825903,-71.17260086,-9.339285137,-9.822828007,-8.855742268,-9.339285137,-7.65
1hk4,-7.87449,-8.13,-9.33,-82.346,-8.877599393,-84.99145162,-8.386014909,-10.5964966,-9.311654116,-9.422178201,-7.34
1nhu,-6.60796,-5.46,-8,-97.095,-9.861906596,-86.36278418,-8.42746144,-10.22347781,-8.040627145,-8.897188799,-7.819578976
2d3u,-8.67459,-8.77,-10.97,-109.121,-9.571904393,-92.18780801,-9.380731669,-9.947167602,-8.689956141,-9.339285137,-9.560333306
2d3z,-8.80834,-9.8,-11.29,-109.742,-8.750100195,-95.25388661,-9.201130032,-9.726119433,-8.731402673,-9.214945542,-9.17349901
1ai5,-7.01979,-9.83,-10.49,-65.688,-6.520065881,-49.75134837,-7.764316934,-7.819578976,-7.239327532,-7.612346317,-5.139369928
1ajp,-6.35536,-8.23,-4.34,-72.225,-5.596472439,-59.60168734,-7.529453254,-7.211696511,-7.17024998,-7.308405085,-3.080858854
1ajq,-5.06761,-8,-5.83,-57.659,-6.148076899,-53.17460553,-6.949201811,-6.990648342,-6.755784663,-6.893939768,-5.95448505
1e66,-12.13013,-7.57,-7.25,-116.394,-9.836978588,-67.70744524,-10.0715072,-9.836643517,-9.919536581,-9.933352091,-13.66353994
1gpk,-9.91459,-9.47,-8.64,-102.917,-9.019134628,-62.06016302,-8.717587162,-8.468907972,-9.076790437,-8.759033694,-7.41892917
1h23,-10.0317,-12.69,-14.03,-202.267,-11.77363634,-117.3787258,-11.37016519,-11.32871866,-10.48597251,-11.06622396,-11.53595132
1b7h,-7.9995,-10.28,-14.5,-209.712,-9.162337814,-72.15374524,-10.16821577,-10.48597251,-10.18203128,-10.27873986,-11.08003947
1b9j,-8.117,-10.93,-15.3,-180.199,-9.03847376,-72.61261704,-9.767565964,-10.22347781,-9.670857391,-9.89190556,-8.234044293
2rkm,-6.03311,-5.42,-11.43,-108.449,-9.921445892,-53.73483852,-7.957734081,-7.626161828,-7.653792849,-7.750501423,-5.388049118
1u2y,-5.18957,-5.26,-6.6,-40.198,-7.599248081,-37.37196036,-6.368950367,-6.672891599,-6.230795262,-6.424212409,-2.403898837
1u33,-7.8457,-6.96,-11.85,-127.441,-9.416383883,-70.0279914,-8.551801035,-8.772849204,-8.234044293,-8.524170014,-6.355134857
1xd1,-8.65829,-9.72,-19.03,-213.25,-8.674859205,-130.9693671,-10.3340019,-10.55505007,-9.781381475,-10.22347781,-10.94188436
1uwt,-6.18,-7.03,-10.38,-76.467,-7.470043618,-45.4071576,-7.18406549,-7.598530807,-7.101172427,-7.294589575,-8.247859803
2ceq,-6.47563,-8.58,-11.8,-75.358,-8.065436078,-77.31951165,-7.488006722,-8.040627145,-7.460375701,-7.66760836,-10.05769169
2cer,-8.71577,-9.89,-14.26,-117.309,-9.714611516,-84.19771015,-8.759033694,-9.284023095,-8.869557778,-8.966266352,-12.73790073
2qwb,-6.10585,-6.96,-6.74,-67.278,-6.472586646,-41.64962147,-7.142618958,-7.322220596,-7.377482638,-7.280774064,-3.785449893
2qwd,-6.45173,-6.85,-6.99,-78.389,-8.044581208,-11.67304889,-7.266958553,-7.515637744,-7.501822233,-7.43274468,-6.700522621
