PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,X2.5_contacts,X4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi.cation,pi.pi,pi.t,salt_bridge,rot_bonds,Experimental
11gs,1.533806238,2.459582081,-4.057310291,-51.41644562,-0.434533898,-2.362874333,-55.17436627,9.913080292,11,184,4,14,9,71,22,75,3,6,33,0,1,0,3,19,-8.040627145
1a1c,-234.6687101,-0.576775776,-12.89355688,-23.07153833,-0.389123307,229.3091722,-38.41849402,5.708613404,10,144,0,15,9,52,58,20,1,10,18,2,0,0,3,15,-8.841926757
1a1e,-188.8766137,5.91672684,-12.22305557,-25.96911169,-0.46121259,184.5174025,-39.47330672,6.481733319,9,142,0,17,6,52,58,18,1,10,18,1,0,0,2,14,-8.289306335
1a4r,5.681866001,3.267096034,-10.47762979,-9.390650976,-2.119265327,7.096353894,-49.79133501,4.177458501,12,192,23,2,30,51,6,92,2,8,15,0,0,2,1,10,-9.201130032
1a7x,-32.88338618,-0.198019354,-1.746851436,-64.42116906,0,27.07646217,-85.35272712,8.904507444,5,157,0,0,37,8,52,65,2,3,40,0,0,0,0,14,-13.40104524
1a94,-5.516752368,3.541216105,-5.59884481,-68.79231953,-1.77E-07,41.26059715,-98.90290849,16.94833731,11,215,0,37,39,0,66,84,7,4,29,0,0,0,2,29,-10.84517579
1a99,-143.5638483,1.039245383,-2.374569013,-21.27533227,0,127.8002494,-21.69488343,0.993460352,8,110,0,7,10,16,64,21,3,0,20,3,0,0,2,5,-7.874841018
1a9m,-12.118522,12.53508608,-5.63575554,-68.99816404,0,25.95690843,-82.43817068,20.94522263,8,172,0,20,29,0,63,68,5,3,16,0,0,0,0,20,-9.560333306
1aaq,-48.19017821,4.916546907,-4.327483366,-54.02962125,-0.45229051,51.64342809,-79.12546459,9.209813428,11,154,0,27,35,0,43,60,7,4,19,0,0,0,2,19,-11.60502887
1abf,-35.36884332,1.087591577,-5.323934925,-18.04121401,0,22.8916827,-23.21097649,9.612854438,13,128,0,0,1,46,3,91,3,5,6,0,0,0,0,4,-7.488006722
1add,-24.22307865,2.532288513,-6.625168473,-22.98562628,-5.542533092,72.59137567,-42.80208799,6.789347782,5,133,0,7,7,29,9,86,4,2,24,3,1,0,0,6,-9.311654116
1ado,-39.68959097,0.986647654,-5.128452678,-5.60196178,0,59.95239489,-19.43580307,2.274040104,4,74,0,15,10,5,29,19,0,4,3,0,0,0,1,5,-8.289306335
1af6,-45.36104028,3.5760819,-8.880647743,-20.60338299,0,41.7463247,-26.75579781,6.952430702,18,163,0,0,0,0,93,88,4,5,16,0,0,0,0,13,-2.514422922
1afk,-156.2666698,6.080225758,-17.28482696,-8.917412698,-6.521737188,152.0729704,-32.32522389,6.448361054,14,171,1,9,0,68,46,61,2,7,11,0,1,0,6,10,-9.145867989
1afl,-40.0487349,6.31279755,-11.8077252,-6.760542002,-4.041333892,62.51566355,-35.9400265,6.158315019,9,166,0,9,0,47,53,66,2,7,14,0,2,0,4,10,-8.67614063
1agm,-220.4659741,12.74568645,-6.707174867,-49.76885932,0,179.0526075,-56.38346274,16.45604692,13,213,0,0,44,44,19,119,10,3,27,0,0,0,1,22,-16.57861267
1ai4,-19.73777751,2.181394701,-1.968498251,-17.8473412,-0.511102912,32.55134386,-25.30923248,1.124081232,2,74,0,18,0,4,32,22,0,2,15,0,1,0,0,4,-3.45387764
1ai7,-0.044160781,0.040449634,-0.020720272,-17.09683613,-0.303623463,16.4328832,-20.56811919,0.157530158,0,45,0,8,0,12,18,7,0,0,20,0,0,1,0,1,-5.650543818
1aid,-7.024272549,8.738520433,-0.002074758,-60.1977827,0,15.69514316,-44.50540424,8.247087646,1,41,0,5,1,0,25,11,0,0,23,0,0,0,0,7,-6.659076089
1aj7,-42.15500024,3.255719476,-8.195526448,-19.05635579,-2.37243124,49.88503449,-41.01904481,4.614464022,7,125,0,1,12,0,99,20,0,7,25,1,1,0,3,8,-5.346602586
1ajn,9.647589668,0.028873556,-1.139040582,-17.49060927,-1.388683246,2.459906961,-28.86954647,0.52226877,1,55,0,12,0,2,28,14,0,1,12,0,1,0,0,3,-3.633479277
1ajv,16.08701879,3.783544623,-2.82111399,-62.43510022,-0.676210963,8.626866367,-82.40085355,9.150210837,4,169,0,14,46,0,57,56,2,2,44,0,0,0,0,12,-10.66557415
1ajx,-21.10113563,-1.297789135,-2.753760298,-58.32344053,-1.593083047,43.20332024,-72.51896264,7.533679565,4,152,0,10,32,0,51,63,2,2,46,0,0,0,0,12,-10.92806885
1alw,-10.42479089,2.433466173,-2.096490477,-18.56487153,-0.224897296,18.76226459,-28.74555533,1.635494352,1,32,0,0,0,33,0,0,0,1,11,0,0,0,1,4,-9.007712884
1amw,53.14999904,1.160326248,-6.394399912,-11.09932922,-0.294507151,-31.46741347,-41.19735729,1.137074556,4,100,15,0,11,24,24,30,1,3,6,0,0,0,2,9,-6.272241793
1apb,-37.28195385,1.464691397,-5.069772409,-18.07353026,0,22.45264069,-23.95550634,8.945388255,13,130,0,0,0,49,1,93,3,5,8,0,0,0,0,4,-8.040627145
1apv,-43.45042836,3.272142064,-4.239859706,-47.21270778,0,58.96132631,-66.78562788,5.585185976,10,164,0,3,48,0,44,79,4,2,11,0,0,0,0,16,-12.4339595
