PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,Experimental
1bnq,7,94,0,0,3,7,40,51,1,1,9,1,0,1,0,7,-13.11091952
1yqj,1,122,0,17,28,1,43,34,0,2,57,1,1,0,1,5,-11.24582559
1bnw,6,94,0,0,3,7,48,42,1,2,5,0,0,1,1,6,-12.54448359
1bnv,8,107,0,0,7,3,54,51,2,2,4,1,0,1,0,5,-12.11620276
1bnu,7,86,0,0,3,4,42,44,1,1,5,1,0,2,0,5,-13.40104524
1bnt,7,84,0,0,3,4,45,39,1,2,4,1,0,2,0,5,-13.53920035
2ewb,6,86,1,0,18,14,16,43,0,0,14,0,0,0,0,6,-8.42746144
1kzn,3,156,19,5,2,36,40,57,2,1,36,2,1,0,0,13,-12.32343542
1g54,8,80,0,0,3,10,35,40,0,1,12,0,0,1,0,5,-12.18528031
1g53,6,89,0,0,4,5,47,39,0,2,15,0,0,0,0,5,-12.48922154
1g52,7,80,0,0,3,3,42,39,0,2,13,0,0,1,1,5,-13.17999707
2ccc,2,82,0,5,0,0,79,0,1,1,34,0,9,0,0,0,-10.72083619
1v48,9,159,0,33,6,0,32,97,2,8,13,0,2,0,2,7,-10.77609824
1yqy,8,137,0,20,7,50,8,60,2,1,18,1,2,0,2,6,-10.52741905
1kc7,8,102,12,9,3,33,42,11,0,7,5,0,0,0,4,3,-7.626161828
1d7i,1,38,0,0,4,8,15,12,0,1,9,0,0,0,0,2,-4.973583801
1bnn,8,85,0,0,4,8,40,41,1,1,10,0,0,1,0,4,-13.81551056
1pgp,13,134,0,2,6,89,7,43,0,9,1,0,0,0,5,11,-7.874841018
1mhw,6,148,0,7,69,7,9,62,3,1,32,0,1,0,1,21,-10.15440026
1o7o,10,189,2,23,9,61,10,94,2,8,22,0,1,0,5,8,-6.203164241
2j2u,2,113,0,36,31,0,21,27,0,1,34,0,0,0,0,5,-10.12676924
1a9m,8,172,0,20,29,0,63,68,5,3,16,0,0,0,0,20,-9.560333306
1hii,7,136,0,16,49,0,32,46,5,2,29,0,0,0,2,16,-10.05769169
1yc4,3,106,17,11,0,38,41,2,2,1,23,0,0,0,0,5,-9.049159416
1pu8,2,81,0,0,0,47,0,36,0,0,31,0,8,2,0,0,-4.282808273
1hn2,0,36,0,4,0,0,28,4,0,0,13,0,1,2,0,1,-8.289306335
2er6,14,211,0,16,53,0,38,118,9,2,32,0,0,1,3,30,-9.974798623
1w1g,11,130,0,2,0,0,139,0,0,9,1,0,0,0,8,16,-10.61031211
1ez9,5,119,1,0,5,43,14,61,5,1,23,0,0,0,0,29,-7.045910385
1oko,3,71,0,9,4,0,16,45,0,1,2,0,0,0,0,6,-6.272241793
1w1d,11,130,0,2,0,0,139,0,0,9,1,0,0,0,8,10,-9.007712884
2aoc,14,242,0,45,49,0,64,98,8,4,35,0,0,0,2,30,-6.755784663
2aog,12,230,0,45,54,0,72,71,7,4,27,0,0,0,2,30,-8.67614063
1j14,3,94,0,5,42,0,6,44,3,0,11,0,0,0,0,2,-6.203164241
