PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,Experimental
2ymd,8,130,0,20,23,0,31,64,3,1,18,3,0,0,0,4,-4.37
3u9q,4,56,3,0,1,51,0,5,0,5,15,0,0,0,2,8,-9.16
2zx6,14,185,0,0,4,17,88,90,5,3,23,1,0,0,2,7,-14.64
3f3e,5,125,51,0,16,44,0,19,3,2,11,0,0,0,0,4,-10.64
3myg,4,126,0,18,17,12,68,15,1,1,26,0,0,0,0,9,-14.78
2w66,10,164,0,0,11,0,71,92,6,1,24,0,0,0,2,6,-5.6
2fvd,3,123,0,9,27,10,52,28,0,2,19,0,0,0,1,7,-9.44
1jyq,20,271,0,39,22,59,84,87,3,16,40,2,1,0,4,20,-12.02
1f8d,7,158,0,0,1,0,88,76,2,6,13,0,0,0,4,9,-4.7
3nw9,17,234,0,6,34,14,29,168,3,4,44,0,0,4,0,10,-12.43
2xb8,11,153,0,3,32,0,35,94,2,7,34,0,1,0,1,7,-10.49
1xd0,21,241,0,3,25,35,60,139,6,2,19,0,0,0,3,28,-9.84
2d3u,3,74,4,0,15,34,0,24,0,2,33,0,2,0,0,5,-9.56
3uex,0,35,0,0,1,0,31,3,0,1,25,0,0,0,1,16,-9.56
2wbg,12,192,0,0,0,0,100,104,3,4,43,0,0,0,0,11,-6.15
1os0,6,117,1,6,1,42,36,37,2,3,19,1,0,2,6,13,-8.33
2iwx,2,73,3,1,0,32,34,5,1,2,12,0,0,0,0,2,-9.23
3bpc,13,125,0,0,15,0,75,48,3,7,9,0,0,0,2,15,-6.63
1o5b,3,99,0,5,52,0,3,42,2,0,13,0,0,0,0,2,-7.97
2qmj,16,180,0,0,0,0,71,125,6,3,11,0,0,0,3,22,-5.82
2x8z,8,83,0,1,0,42,0,48,0,5,11,0,0,0,3,3,-11
3zsx,6,103,5,0,37,40,0,27,1,5,20,0,0,0,1,10,-4.53
3b3s,3,59,0,0,12,0,14,36,1,1,9,0,0,0,0,4,-3.52
2pq9,6,58,4,0,2,41,0,17,0,5,0,0,0,0,1,10,-11.2
1w3l,20,219,0,0,21,0,90,128,5,5,22,2,0,0,2,20,-8.68
3cyx,9,185,0,28,59,0,48,59,3,2,33,0,0,0,2,14,-11.05
3jvs,2,109,0,0,54,1,0,56,2,0,36,0,0,0,0,5,-9.04
3f80,6,104,0,0,10,5,6,89,1,1,11,0,0,0,2,7,-5.83
3gcs,4,126,0,16,14,39,34,27,2,2,35,1,0,1,0,6,-10.02
1lor,13,160,0,12,11,0,53,97,2,10,8,0,0,0,1,7,-15.28
2jdu,8,94,0,10,18,0,18,56,0,2,8,0,0,0,0,4,-9.28
2zcr,4,102,6,0,0,86,0,14,0,4,31,0,0,0,7,10,-9.49
2y5h,1,104,0,26,15,0,23,41,0,1,29,4,0,0,0,6,-8
3d4z,9,144,0,0,11,6,5,131,8,1,17,0,1,0,0,5,-6.76
3udh,4,82,0,0,19,0,49,18,3,0,20,0,0,0,2,0,-3.94
1sln,6,139,6,16,36,38,26,23,3,3,34,0,1,0,5,14,-9.17
3i3b,10,140,0,0,0,0,62,88,3,2,18,0,0,0,0,5,-3.08
3imc,1,59,11,8,5,8,9,19,0,1,19,1,0,0,0,1,-4.09
2vl4,14,152,0,0,0,16,75,75,6,2,15,2,0,0,2,5,-8.3
3su3,6,161,0,28,27,0,50,62,3,2,40,0,0,0,0,7,-12.61
3gy4,6,107,0,5,47,0,9,52,4,0,11,0,0,0,0,3,-7.05
2cbj,14,151,5,0,14,2,41,103,4,2,20,0,0,0,0,8,-11.43
2obf,3,129,11,0,1,46,32,42,3,0,48,0,1,0,2,5,-12.23
2yki,4,137,22,0,0,50,56,13,0,0,48,0,2,2,0,3,-13.07
2v7a,3,100,0,25,20,0,53,5,2,2,27,0,0,0,0,6,-11.47
3nox,6,143,2,0,0,46,4,97,2,0,13,1,1,1,2,4,-11.96
1w4o,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,-7.21
2xy9,14,158,0,8,0,89,6,69,3,4,22,0,0,0,9,16,-12.7
3g2z,3,70,0,17,0,11,34,11,1,5,4,0,0,0,0,1,-3.26
2zjw,3,94,0,0,10,2,61,24,1,1,22,0,0,0,0,4,-10.64
3ehy,2,72,4,7,12,34,7,10,0,2,16,1,1,0,4,5,-8.08
1q8u,2,67,0,17,3,0,39,10,0,1,21,0,0,0,1,2,-8.28
3g0w,2,90,11,0,1,69,0,11,1,0,21,0,0,1,0,3,-13.15
3ge7,10,200,0,9,33,48,83,37,5,1,42,0,3,0,2,7,-12.02
1oyt,4,124,0,33,28,0,15,52,2,1,24,0,0,0,0,5,-10
2weg,6,80,0,0,11,0,35,40,0,1,5,0,0,0,0,2,-8.98
1lbk,11,143,4,12,5,41,13,79,3,7,7,0,0,0,3,11,-4.39
3bfu,13,159,3,24,2,55,67,21,2,7,15,1,0,0,2,4,-8.66
1igj,0,85,0,0,8,0,50,27,0,0,21,0,0,0,0,7,-13.82
3ebp,0,95,6,0,7,23,0,59,0,0,52,0,4,0,0,5,-8.16
3cft,1,24,0,1,0,0,24,0,0,0,7,0,0,0,1,2,-5.79
3fv1,16,222,12,22,0,78,102,24,4,6,28,0,0,0,4,7,-12.85
2pww,7,160,0,3,45,0,51,68,5,1,38,0,0,1,2,14,-10.11
2hb1,5,92,9,0,5,30,4,49,0,6,16,0,0,0,3,4,-5.25
