PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
1bnq,-0.356385406,4.900614393,-2.504764888,-28.10592798,-0.245386367,-8.543890447,-35.53773561,6.690621499,-13.11091952
1yqj,-10.48698191,1.075132602,-0.850377146,-49.33776558,-1.472774428,27.46638474,-65.80227596,3.339257582,-11.24582559
1bnw,21.70816888,3.397591782,-2.562774363,-23.21412893,-0.557225854,-28.52141014,-29.57402024,11.00174141,-12.54448359
1bnv,-4.01247109,3.265812937,-3.127877817,-23.26075603,-0.802272148,-6.594896052,-33.62018665,5.420572485,-12.11620276
1bnu,12.40173015,4.073233997,-2.843653458,-31.83384274,-0.811302209,-22.77775993,-34.86355403,6.305304514,-13.40104524
1bnt,1.363194221,6.093209078,-2.791030942,-27.49306009,-0.581696645,-17.46810502,-32.00999637,6.367648572,-13.53920035
2ewb,23.35419435,3.304304018,-1.832247456,-26.21989788,-0.000578435,4.052453023,-36.26780619,5.055100524,-8.42746144
1g54,7.013566717,1.350918778,-2.191430569,-16.9185956,-1.505950964,-10.26021102,-29.94254177,2.426698821,-12.18528031
1g53,5.439254334,1.878800382,-2.440525916,-19.25147185,-0.339533164,-8.13321029,-29.64008453,4.162784002,-12.48922154
1g52,3.460019414,2.555046795,-2.441017645,-19.32642375,-1.090664009,-9.811050905,-28.740171,2.951413057,-13.17999707
2ccc,-341.7056133,0.160819272,-0.496086714,-16.99875809,-15.99501726,329.9121286,-34.20445542,0.239774062,-10.72083619
2j4i,-64.39828387,5.48726046,-0.393233815,-53.06714824,0,105.6528182,-69.4144731,6.122652419,-12.4339595
1yqy,23.97390911,5.59977851,-2.051242805,-29.43725813,-0.662631025,2.836609144,-48.81866822,6.248225985,-10.52741905
1kc7,123.2398571,1.43865424,-9.298875005,-3.43287445,0,-78.97996541,-17.66118151,1.785445423,-7.626161828
1d7i,-10.6751856,0.470286341,-0.237770957,-19.32021077,0,9.682046395,-18.9425293,0.659121487,-4.973583801
1bnn,7.552549221,8.788050765,-2.486347587,-27.43179107,-1.220574723,-17.02122651,-34.48495736,6.945989236,-13.81551056
1pgp,-180.741423,4.120084004,-11.02535556,-4.647783094,0,196.1377837,-31.897982,14.57097715,-7.874841018
1o7o,-32.96451678,5.212979412,-10.48888321,-20.4261999,-0.695440111,38.13560782,-45.55202182,6.35996044,-6.203164241
2j2u,-43.66828182,5.6945877,-0.254485291,-48.18107263,0,95.72833311,-62.4328791,4.904113303,-10.12676924
1a9m,-12.118522,12.53508608,-5.63575554,-68.99816404,0,25.95690843,-82.43817068,20.94522263,-9.560333306
1hii,-44.719263,2.392112426,-2.568709549,-73.02638265,0,55.13326075,-80.62040427,13.55469624,-10.05769169
1yc4,-12.59084591,1.971580297,-1.451488073,-29.66576082,-0.418455157,24.5697759,-42.25395558,3.972856037,-9.049159416
1hn2,-2.753948084,1.041978942,-9.53E-05,-28.62640905,-3.203608336,17.72979555,-35.28444572,0.541200428,-8.289306335
1aid,-7.024272549,8.738520433,-0.002074758,-60.1977827,0,15.69514316,-44.50540424,8.247087646,-6.659076089
2er6,-70.53346619,5.228166196,-5.535728661,-63.94620216,-0.130080144,91.96629891,-99.18327437,27.57369268,-9.974798623
1w1g,-393.5092234,1.688840182,-24.17210463,-6.689124822,0,375.0470327,-21.69737787,6.086590643,-10.61031211
1ez9,-53.2038235,7.239727318,-3.971323696,-46.33062604,0,51.24296862,-52.63172826,3.822293338,-7.045910385
1w1d,-480.7776997,1.377584481,-24.57825712,-2.156614387,0,461.1927023,-14.14284301,2.728726572,-9.007712884
2aoc,-7.396517338,1.799075908,-7.462321334,-79.10636505,0,-1.900699968,-104.3980808,20.17724707,-6.755784663
2aog,-24.55924879,3.832205577,-9.986889427,-77.62484365,0,5.323032814,-102.9857796,15.75053536,-8.67614063
1j14,-299.9546951,1.036170823,-6.947290191,-11.69835781,-0.19055445,305.4810987,-24.91140008,1.700762773,-6.203164241
1ik4,-60.78101464,1.969294556,-12.83266622,-4.07777933,0,59.32657111,-23.20993384,2.248578551,-10.23729332
1bn3,6.236392331,6.987526046,-2.267030205,-27.21461987,-0.788562908,-14.98634724,-35.79556588,4.878837185,-13.66353994
1bn1,15.40279699,2.508586289,-2.559415408,-22.70104617,-0.65743929,-25.50036579,-30.69326303,2.738311684,-12.90368686
2ca8,-56.43781322,4.724215886,-7.475856098,-14.19737845,0,40.13998804,-27.14243831,8.471316104,-6.43802792
1bn4,16.51925201,3.11836211,-2.615103107,-23.54151476,-0.818336905,-26.16988431,-32.39816846,2.990596176,-12.86224033
1str,-36.95001336,-1.36213423,-2.440284137,-29.39354619,-0.475310545,29.47584078,-53.765157,17.10217056,-6.589998536
1sts,-36.11497722,0.828538584,-2.298288893,-30.60785637,-0.509211139,30.1126582,-51.0425475,27.10590947,-6.907755279
1qhc,-150.1622052,3.273568312,-16.19256455,-11.11631103,-4.883441134,161.6190359,-49.54559187,13.89554449,-10.45834149
1f9g,-12.04631172,0.217793851,-1.298285741,-10.10750766,0,12.33935949,-15.56085263,1.406627159,-1.768385351
1ai7,-0.044160781,0.040449634,-0.020720272,-17.09683613,-0.303623463,16.4328832,-20.56811919,0.157530158,-5.650543818
2gyi,-5.888486759,3.306166501,-1.980734648,-11.4933307,0,47.51856384,-28.82817741,1.26384097,-9.670857391
1mh5,-52.52257076,4.671381556,-5.324509931,-38.45949307,-2.420911474,64.64195933,-57.93498229,8.133529655,-12.72408522
1v2r,-261.1597207,5.789919733,-7.598079747,-29.06823842,-1.814120227,266.7396901,-44.69599178,9.821185389,-4.904506248
1vyf,-52.06397603,3.328453866,-4.381423689,-51.73830621,0,57.08745195,-40.00051323,8.702019362,-11.121486
1vyg,-53.78865872,1.096253497,-5.324768186,-59.05795467,0,57.80408668,-43.6607111,17.40011328,-11.05240845
1upf,-10.19019406,0.100496218,-0.600181555,-6.75363861,-0.178728093,6.104169955,-16.45151373,0.426837809,-6.355134857
1caq,98.56949436,5.33575605,-0.852287473,-50.45409176,-4.704081088,-52.91239223,-66.66942723,13.58559413,-10.66557415
1i5r,-41.42637497,9.109135787,-3.942579969,-92.13561206,-0.372077789,40.47314168,-85.90016332,20.97188455,-11.770815
