PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
1f8d,-4.243510593,5.298435375,-15.49707865,-16.73412068,0,31.78761981,-33.09450212,7.326042202,-4.7
1igj,-9.995771812,2.090496939,-0.134724905,-60.71892966,0,27.16089192,-46.20967395,4.526727346,-13.82
1jyq,-248.8577514,1.34629913,-23.31383058,-23.81828499,-4.454304122,228.1945173,-44.07227954,11.70484379,-12.02
1lbk,14.08273805,1.902063605,-4.081587357,-13.9788087,0,-18.59012394,-29.69790235,5.851549517,-4.39
1lor,-16.74709657,5.493723518,-9.435736262,-12.75749971,0,14.96018091,-29.19893814,7.664904038,-15.28
1o5b,-183.8028663,1.526086604,-2.152005637,-25.67328366,-0.000173125,179.73691,-30.76161089,2.734740997,-7.97
1os0,64.58852756,3.266131482,-3.575620159,-36.33230647,-3.313784128,-23.09553038,-43.58129574,12.53488152,-8.33
1oyt,-195.576039,3.135855914,-6.756288347,-35.75159229,-0.207669855,206.7496418,-52.85392196,4.978005974,-10
1q8u,21.52403863,1.116100578,-0.938448483,-37.6670037,-7.31E-05,-10.54514056,-43.69211476,2.550844916,-8.28
1sln,-98.10068639,4.285510014,-2.097811179,-38.94197986,-1.829476873,116.7791772,-56.65311949,13.99546552,-9.17
1w3l,-32.97790827,1.671678413,-6.628288382,-28.46891967,0,59.64591305,-33.74923484,16.76290817,-8.68
1w4o,-93.15149244,4.331037833,-10.87506451,-5.836448167,-0.00098483,84.58345571,-28.95139054,5.664779989,-7.21
1xd0,-51.3427067,11.21299361,-5.90957309,-55.88566813,0,101.6890879,-72.38769535,32.46301095,-9.84
2cbj,-23.77264467,3.023671867,-4.095902631,-28.59847742,-1.598330345,45.2149512,-52.18308452,9.982400765,-11.43
2d3u,-55.03372589,0.733085329,-1.613760628,-39.82439852,-3.111275332,57.90922097,-41.43036946,5.122083523,-9.56
