PDB,VINA,GlideSP,DSX,RFScore,HMS,Experimental
1yqj,-12.38448,-11.08,-159.255,-9.74775813072,-12.19909582,-11.24582559
1g54,-6.39968,-6.09,-88.449,-9.95600492332,-8.109704698,-12.18528031
1g53,-6.76869,-6.69,-90.997,-10.3459016571,-8.634694099,-12.48922154
1g52,-6.8083,-7.04,-89.464,-10.5868233612,-8.634694099,-13.17999707
1yqy,-8.41868,-5.81,-135.444,-8.70601707832,-9.17349901,-10.52741905
1kc7,-2.9348,-6.53,-40.323,-5.33921573558,-7.087356916,-7.626161828
1d7i,-1.72013,-5.37,-26.794,-7.84250230856,-5.843960966,-4.973583801
1ogg,-8.48887,-10.62,-149.205,-8.55903906042,-9.1596835,-7.17024998
1pgp,-5.6944,-7.49,-77.592,-6.16845431389,-7.446560191,-7.874841018
1yc1,-10.65986,-10.13,-122.24,-8.76046325193,-10.03006067,-8.524170014
1a9m,-8.26766,-11.46,-207.676,-9.89034786069,-10.62412762,-9.560333306
1hii,-9.93818,-12.92,-228.709,-9.37050863063,-12.66882318,-10.05769169
1yc4,-7.95153,-8.89,-89.558,-9.45295668926,-8.759033694,-9.049159416
1hn2,-9.67598,-8.06,-91.673,-8.60142146782,-9.491255753,-8.289306335
2er6,-9.11891,-13.3,-254.155,-11.1929925664,-13.26289014,-9.974798623
1ez9,-5.80204,-8.18,-132.535,-7.87730695587,-7.722870402,-7.045910385
2aoc,-8.13689,-14.37,-245.526,-9.24649188348,-12.0333097,-6.755784663
2hu6,-9.23191,-8.21,-148.861,-9.45661937598,-9.353100648,-5.263709523
2aog,-8.62212,-15.24,-258.137,-9.26464270125,-12.64119216,-8.67614063
1j14,-5.33278,-8.26,-70.448,-6.23769564865,-7.004463853,-6.203164241
1ik4,-4.88529,-7.42,-71.297,-7.3767965455,-7.349851617,-10.23729332
2ca8,-5.69893,-7.58,-106.314,-8.86334407174,-7.612346317,-6.43802792
1str,-6.99784,-11.62,-147.168,-9.3940558326,-9.463624732,-6.589998536
1sts,-7.84696,-11.71,-183.896,-9.31313546475,-10.40307945,-6.907755279
1qhc,-8.74689,-11.61,-191.533,-8.45714182375,-9.284023095,-10.45834149
1f9g,-4.57793,-4.31,-26.399,-5.4568908491,-6.424212409,-1.768385351
1w4o,-6.59618,-10.37,-107.969,-5.08653867074,-8.040627145,-7.211696511
1v2r,-7.14249,-9.81,-131.651,-8.11810998836,-8.330752866,-4.904506248
1vyf,-6.04276,-6.57,-114.357,-9.64997708169,-9.132052479,-11.121486
1vyg,-6.91459,-10.7,-140.744,-9.7172441038,-9.615595348,-11.05240845
1upf,-4.60898,-7.11,-36.443,-7.15611863001,-6.382765878,-6.355134857
1caq,-10.29883,-7.16,-200.977,-10.307445723,-11.37016519,-10.66557415
1o36,-0.68022,-8.51,-126.96,-9.77743222785,-9.17349901,-8.234044293
1i9m,-5.75682,-6.04,-82.291,-10.4996452638,-8.689956141,-11.71555295
1i9l,-6.10313,-6.41,-83.979,-9.29248647672,-8.634694099,-11.71555295
1i9o,-6.4304,-6.05,-85.219,-9.22409775273,-8.358383888,-11.63265989
1i9n,-6.08423,-5.74,-80.292,-9.30499424454,-8.455092461,-11.96423214
1i9q,-6.33173,-5.88,-86.069,-10.1413455237,-8.372199398,-11.61884438
1i9p,-5.67722,-5.2,-78.118,-9.59029776696,-8.206413271,-11.61884438
1wm1,-7.14026,-6.64,-82.526,-9.08356863243,-8.67614063,-8.703771652
1hnn,-8.33933,-8.2,-73.632,-8.81506986509,-8.192597761,-8.620878588
1hi5,-4.7733,-6.45,-70.847,-7.29436253971,-7.073541406,-5.581466265
1a94,-8.85884,-14.84,-284.139,-10.0053459557,-13.11091952,-10.84517579
1ikt,-7.35595,-8.29,-151.875,-9.88138175922,-9.781381475,-4.69727359
1c70,-11.95572,-13.64,-248.114,-12.5397579095,-13.64972443,-14.22997587
2mas,-9.6755,-7.46,-97.357,-9.01324141769,-9.132052479,-10.38926394
2h4n,-4.9816,-5.27,-46.581,-10.08401576,-7.225512022,-12.01949419
1oe8,-5.49231,-8.52,-103.435,-9.11979720572,-7.377482638,-7.626161828
1mq5,-9.77615,-7.15,-171.826,-9.3504531354,-10.37544843,-12.4339595
1m5w,-5.15874,-6.88,-53.301,-7.09891902006,-7.059725895,-5.899223008
1wvj,-9.84232,-8.95,-111.147,-9.6110074149,-8.938635331,-9.297838606
1gah,-9.14877,-9.91,-191.637,-8.09200029618,-10.61031211,-16.57861267
